@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A10-M10'

@attribute -0.121Feature52-0.121Feature85-0.121Feature78-0.12Feature84-0.12Feature86-0.119Feature58-0.119Feature57-0.119Feature163-0.119Feature83+0.118Feature148... numeric
@attribute '-0.229Feature33-0.227Feature34-0.223Feature35+0.215Feature98-0.193Feature32-0.191Feature36+0.19 Feature99+0.174Feature97+0.173Feature101+0.163Feature100...' numeric
@attribute -0.226Feature29+0.217Feature94+0.214Feature93+0.203Feature95-0.183Feature30+0.181Feature96+0.166Feature18-0.166Feature28+0.162Feature92-0.151Feature31... numeric
@attribute -0.21Feature25-0.208Feature103-0.207Feature102-0.2Feature27-0.186Feature11+0.165Feature116-0.158Feature26-0.153Feature104-0.149Feature51-0.142Feature89... numeric
@attribute '0.225Feature50+0.22 Feature154-0.218Feature115+0.213Feature128+0.212Feature76+0.197Feature24-0.197Feature141+0.194Feature14+0.186Feature105-0.16Feature96...' numeric
@attribute '0.235Feature13+0.229Feature91+0.212Feature104+0.207Feature12+0.2  Feature107+0.186Feature141-0.183Feature76-0.182Feature50-0.177Feature128+0.176Feature16...' numeric
@attribute '0.36 Feature110+0.311Feature19+0.296Feature109+0.252Feature111+0.22 Feature18+0.211Feature108+0.21 Feature20+0.174Feature97+0.168Feature17+0.134Feature30...' numeric
@attribute 0.344Feature106+0.286Feature15+0.271Feature107+0.245Feature16-0.223Feature12-0.211Feature90-0.204Feature89-0.194Feature11+0.188Feature28-0.171Feature102... numeric
@attribute '0.302Feature21-0.246Feature23+0.23 Feature99-0.226Feature114+0.209Feature20-0.203Feature108+0.195Feature112-0.19Feature17+0.175Feature98-0.149Feature105...' numeric
@attribute '-0.315Feature17-0.286Feature108-0.253Feature95+0.174Feature3-0.165Feature99-0.157Feature21-0.155Feature9+0.153Feature4+0.141Feature24+0.14 Feature15...' numeric
@attribute Class {-1,1}

@data

-10.61378,-0.430644,1.288586,1.735281,3.554902,0.943433,-1.160851,0.842882,2.128462,-0.078219,-1
-5.447676,-0.80905,0.045882,1.664764,2.679201,0.008716,3.464145,1.250332,-1.277711,-0.345645,-1
-8.434081,1.938884,-1.158654,2.002407,2.126345,1.061152,4.095397,0.13629,-2.203092,1.356101,-1
-18.429458,-5.779484,-6.102309,6.473207,4.040436,-6.845108,3.521678,-1.444628,3.212666,-1.899772,-1
8.762086,-2.358074,-0.747245,1.143893,2.085724,2.368927,1.333932,1.619758,2.180668,-0.121187,1
-9.196977,-2.18535,3.102106,-0.613084,-5.099819,0.198261,-0.774031,1.393977,3.525845,0.251523,-1
7.455636,4.765562,1.142287,2.214259,-1.363337,0.550003,-0.949438,0.297537,2.613817,1.58732,1
0.270496,0.024261,-1.855465,2.273936,-3.505137,1.565176,0.317222,-3.699876,-2.864608,-0.285555,1
-1.746073,4.664269,1.162608,-2.754963,2.714728,-1.0707,0.60479,0.440298,0.110689,-0.474258,-1
2.577218,0.354526,-1.057225,-4.282712,-0.576637,-3.675846,-3.505328,3.232553,-2.113433,1.57726,1
-3.389478,-0.578681,0.365515,-0.775472,-3.983078,1.688866,2.156842,1.596824,-1.757415,-0.507838,-1
-9.058606,-3.999454,-0.81424,3.209457,-1.711158,-1.823273,-2.98895,0.56122,-1.997952,-2.972847,-1
13.824048,-3.884002,1.781388,0.037715,-1.693743,1.458443,0.99368,-2.747361,2.538609,3.399603,1
-6.234177,2.362084,2.544789,-3.298867,2.632619,-1.372862,-1.17269,-3.696949,-0.093344,-1.668574,-1
3.039494,-1.44182,-3.818286,1.625128,0.226205,-1.356017,-2.142818,1.468646,0.833212,-0.059125,-1
-7.196667,3.493555,0.30772,0.041935,1.991333,3.092103,2.818288,-0.332066,-2.591415,-1.594825,-1
10.648749,2.814216,0.454226,1.465305,-2.261799,1.363076,0.355072,-0.193723,0.732049,-1.433446,1
