@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A15-M15'

@attribute -0.121Feature52-0.121Feature85-0.121Feature78-0.12Feature84-0.12Feature86-0.119Feature58-0.119Feature57-0.119Feature163-0.119Feature83+0.118Feature148+0.118Feature149-0.118Feature162+0.118Feature150+0.118Feature151-0.118Feature79... numeric
@attribute '-0.229Feature33-0.227Feature34-0.223Feature35+0.215Feature98-0.193Feature32-0.191Feature36+0.19 Feature99+0.174Feature97+0.173Feature101+0.163Feature100-0.163Feature113-0.16Feature31+0.136Feature126-0.129Feature30-0.124Feature61...' numeric
@attribute -0.226Feature29+0.217Feature94+0.214Feature93+0.203Feature95-0.183Feature30+0.181Feature96+0.166Feature18-0.166Feature28+0.162Feature92-0.151Feature31+0.148Feature15+0.144Feature14+0.144Feature16-0.135Feature26+0.135Feature17... numeric
@attribute -0.21Feature25-0.208Feature103-0.207Feature102-0.2Feature27-0.186Feature11+0.165Feature116-0.158Feature26-0.153Feature104-0.149Feature51-0.142Feature89-0.14Feature129-0.14Feature36+0.139Feature101+0.131Feature118+0.122Feature68... numeric
@attribute '0.225Feature50+0.22 Feature154-0.218Feature115+0.213Feature128+0.212Feature76+0.197Feature24-0.197Feature141+0.194Feature14+0.186Feature105-0.16Feature96+0.159Feature104+0.158Feature92+0.145Feature112+0.144Feature13-0.14Feature62...' numeric
@attribute '0.235Feature13+0.229Feature91+0.212Feature104+0.207Feature12+0.2  Feature107+0.186Feature141-0.183Feature76-0.182Feature50-0.177Feature128+0.176Feature16+0.175Feature115-0.172Feature154+0.172Feature90+0.161Feature89+0.161Feature105...' numeric
@attribute '0.36 Feature110+0.311Feature19+0.296Feature109+0.252Feature111+0.22 Feature18+0.211Feature108+0.21 Feature20+0.174Feature97+0.168Feature17+0.134Feature30-0.121Feature15-0.116Feature93-0.112Feature100-0.112Feature45+0.109Feature31...' numeric
@attribute 0.344Feature106+0.286Feature15+0.271Feature107+0.245Feature16-0.223Feature12-0.211Feature90-0.204Feature89-0.194Feature11+0.188Feature28-0.171Feature102-0.162Feature103+0.161Feature93+0.158Feature94-0.133Feature91+0.124Feature109... numeric
@attribute '0.302Feature21-0.246Feature23+0.23 Feature99-0.226Feature114+0.209Feature20-0.203Feature108+0.195Feature112-0.19Feature17+0.175Feature98-0.149Feature105-0.146Feature101-0.135Feature14-0.134Feature95-0.133Feature9+0.132Feature111...' numeric
@attribute '-0.315Feature17-0.286Feature108-0.253Feature95+0.174Feature3-0.165Feature99-0.157Feature21-0.155Feature9+0.153Feature4+0.141Feature24+0.14 Feature15+0.125Feature93+0.123Feature23-0.12Feature6+0.12 Feature1-0.119Feature22...' numeric
@attribute '-0.356Feature22-0.272Feature113-0.217Feature18-0.194Feature109-0.193Feature100+0.189Feature108-0.182Feature96-0.162Feature5-0.162Feature110+0.16 Feature8+0.156Feature17+0.154Feature48-0.149Feature41+0.147Feature47-0.127Feature19...' numeric
@attribute '-0.317Feature114-0.293Feature23-0.205Feature20-0.192Feature111-0.172Feature70+0.17 Feature1+0.16 Feature18-0.159Feature69+0.158Feature2-0.149Feature104-0.145Feature40+0.144Feature96-0.143Feature13+0.139Feature71-0.13Feature91...' numeric
@attribute '0.259Feature44-0.238Feature107+0.195Feature15+0.189Feature93-0.171Feature1-0.166Feature2-0.166Feature16+0.16 Feature43-0.151Feature101+0.15 Feature5-0.148Feature29+0.142Feature106+0.138Feature90-0.121Feature26-0.12Feature133...' numeric
@attribute 0.231Feature8+0.225Feature20+0.219Feature111+0.215Feature105-0.186Feature91+0.186Feature12+0.169Feature40-0.167Feature13-0.164Feature34+0.162Feature14+0.157Feature72+0.155Feature90-0.152Feature95-0.146Feature4+0.145Feature103... numeric
@attribute 0.347Feature46+0.275Feature45-0.214Feature74+0.186Feature69+0.177Feature68-0.173Feature3-0.154Feature122+0.153Feature72-0.151Feature48-0.135Feature148-0.134Feature103+0.133Feature161+0.132Feature57+0.129Feature135+0.125Feature83... numeric
@attribute Class {-1,1}

@data

-10.61378,-0.430644,1.288586,1.735281,3.554902,0.943433,-1.160851,0.842882,2.128462,-0.078219,0.88782,-2.445324,-0.764578,-0.688336,-2.112085,-1
-5.447676,-0.80905,0.045882,1.664764,2.679201,0.008716,3.464145,1.250332,-1.277711,-0.345645,1.210905,0.093976,-1.311485,3.814996,0.653437,-1
-8.434081,1.938884,-1.158654,2.002407,2.126345,1.061152,4.095397,0.13629,-2.203092,1.356101,1.358538,-1.756535,0.49494,-0.318128,1.349261,-1
-18.429458,-5.779484,-6.102309,6.473207,4.040436,-6.845108,3.521678,-1.444628,3.212666,-1.899772,3.037497,-4.929337,2.472354,2.102834,0.931779,-1
8.762086,-2.358074,-0.747245,1.143893,2.085724,2.368927,1.333932,1.619758,2.180668,-0.121187,0.402647,0.04527,-0.768317,-1.39366,-2.043929,1
-9.196977,-2.18535,3.102106,-0.613084,-5.099819,0.198261,-0.774031,1.393977,3.525845,0.251523,-0.306121,-1.109128,0.499533,-0.571795,-0.203134,-1
7.455636,4.765562,1.142287,2.214259,-1.363337,0.550003,-0.949438,0.297537,2.613817,1.58732,-2.034315,-0.656775,-2.203298,-1.567424,0.986045,1
0.270496,0.024261,-1.855465,2.273936,-3.505137,1.565176,0.317222,-3.699876,-2.864608,-0.285555,2.182941,-1.068556,-3.060645,0.861309,-0.323302,1
-1.746073,4.664269,1.162608,-2.754963,2.714728,-1.0707,0.60479,0.440298,0.110689,-0.474258,0.358705,-1.586892,-1.853493,0.885728,0.912861,-1
2.577218,0.354526,-1.057225,-4.282712,-0.576637,-3.675846,-3.505328,3.232553,-2.113433,1.57726,0.10258,-2.921355,-1.652739,0.715092,-0.027662,1
-3.389478,-0.578681,0.365515,-0.775472,-3.983078,1.688866,2.156842,1.596824,-1.757415,-0.507838,0.91378,-0.794247,2.066168,-0.116793,0.618304,-1
-9.058606,-3.999454,-0.81424,3.209457,-1.711158,-1.823273,-2.98895,0.56122,-1.997952,-2.972847,0.304398,0.061055,1.406428,1.956421,4.102062,-1
13.824048,-3.884002,1.781388,0.037715,-1.693743,1.458443,0.99368,-2.747361,2.538609,3.399603,2.124381,-1.524012,2.208083,-0.723049,-0.801907,1
-6.234177,2.362084,2.544789,-3.298867,2.632619,-1.372862,-1.17269,-3.696949,-0.093344,-1.668574,-0.250766,0.436993,0.257715,1.063615,-0.241486,-1
3.039494,-1.44182,-3.818286,1.625128,0.226205,-1.356017,-2.142818,1.468646,0.833212,-0.059125,0.25497,-1.184825,1.381192,-1.824196,-0.760969,-1
-7.196667,3.493555,0.30772,0.041935,1.991333,3.092103,2.818288,-0.332066,-2.591415,-1.594825,0.599368,1.851055,0.270704,0.592545,-1.765157,-1
10.648749,2.814216,0.454226,1.465305,-2.261799,1.363076,0.355072,-0.193723,0.732049,-1.433446,0.11607,0.200304,0.546357,-1.57926,-0.32001,1
4.157129,2.637108,-0.435157,0.144523,-1.28781,0.333878,-0.267341,1.203362,1.330597,0.091528,0.389064,-0.342475,-0.402929,-0.564168,1.097314,1
-1.634171,-0.626398,-0.521526,-0.822476,-2.763601,0.905245,-0.32599,-1.360763,-0.310402,1.255611,1.346771,1.285661,0.42265,0.319164,-1.504283,-1
-9.847222,0.858522,0.960887,4.58304,1.386991,-1.548915,3.794525,0.746152,1.034332,-3.712306,0.221784,-2.308433,-1.59386,5.307431,-1.034719,-1
10.778937,-3.741681,2.386234,0.207341,-3.232503,-1.710137,1.74513,-2.641588,2.495692,-0.650108,2.042104,0.894839,-0.125328,-3.47693,-1.198863,1
6.917206,2.047702,1.148126,2.163279,-0.732949,-3.014233,1.161397,3.816191,3.402634,3.042211,1.79522,-0.564197,-0.457229,-0.041645,1.191846,-1
9.072655,5.771246,-0.317584,0.996999,-1.94122,-0.129502,1.336448,0.602419,0.16906,-1.432666,-1.411705,-2.652186,0.406066,-1.9013,0.794544,1
4.509925,2.79781,-0.383632,-0.051551,0.167164,2.009429,-0.693866,0.58832,0.775544,-0.261772,-0.99243,1.25868,0.652367,-1.720069,-0.655145,1
-14.250702,-2.356694,0.942668,2.001049,0.923764,2.482243,-2.571747,1.135307,1.919024,1.026084,-2.722861,0.488312,1.514176,-1.383516,-0.414304,-1
0.460944,1.746116,1.285021,-1.705352,-3.548376,-1.257563,-1.913266,2.872597,3.628887,0.499596,-1.146256,-0.471425,0.973429,0.534144,0.521091,-1
8.736297,-0.852493,-0.976947,-0.426317,2.19824,2.038801,4.755716,-0.800646,0.726562,-2.110315,1.322758,-1.096042,-1.048859,0.956831,2.408543,1
