@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A25-M25'

@attribute -0.121Feature52-0.121Feature85-0.121Feature78-0.12Feature84-0.12Feature86-0.119Feature58-0.119Feature57-0.119Feature163-0.119Feature83+0.118Feature148+0.118Feature149-0.118Feature162+0.118Feature150+0.118Feature151-0.118Feature79-0.117Feature156+0.117Feature143-0.117Feature157-0.117Feature164-0.116Feature56-0.116Feature59-0.116Feature53-0.116Feature136-0.116Feature54-0.116Feature77... numeric
@attribute '-0.229Feature33-0.227Feature34-0.223Feature35+0.215Feature98-0.193Feature32-0.191Feature36+0.19 Feature99+0.174Feature97+0.173Feature101+0.163Feature100-0.163Feature113-0.16Feature31+0.136Feature126-0.129Feature30-0.124Feature61-0.121Feature27-0.121Feature139-0.118Feature112+0.115Feature96+0.11 Feature127-0.105Feature140-0.103Feature29+0.102Feature125-0.102Feature62+0.1  Feature92...' numeric
@attribute -0.226Feature29+0.217Feature94+0.214Feature93+0.203Feature95-0.183Feature30+0.181Feature96+0.166Feature18-0.166Feature28+0.162Feature92-0.151Feature31+0.148Feature15+0.144Feature14+0.144Feature16-0.135Feature26+0.135Feature17-0.132Feature133+0.131Feature91-0.124Feature55+0.119Feature139+0.115Feature120+0.114Feature61-0.113Feature27-0.111Feature7+0.109Feature146-0.107Feature126... numeric
@attribute '-0.21Feature25-0.208Feature103-0.207Feature102-0.2Feature27-0.186Feature11+0.165Feature116-0.158Feature26-0.153Feature104-0.149Feature51-0.142Feature89-0.14Feature129-0.14Feature36+0.139Feature101+0.131Feature118+0.122Feature68-0.12Feature28+0.117Feature59+0.113Feature85+0.112Feature1+0.111Feature92+0.11 Feature115-0.11Feature97-0.11Feature131+0.11 Feature58-0.109Feature154...' numeric
@attribute '0.225Feature50+0.22 Feature154-0.218Feature115+0.213Feature128+0.212Feature76+0.197Feature24-0.197Feature141+0.194Feature14+0.186Feature105-0.16Feature96+0.159Feature104+0.158Feature92+0.145Feature112+0.144Feature13-0.14Feature62-0.14Feature140-0.139Feature97+0.137Feature22+0.135Feature31-0.132Feature88+0.13 Feature32+0.128Feature127-0.128Feature166+0.125Feature153+0.125Feature90...' numeric
@attribute '0.235Feature13+0.229Feature91+0.212Feature104+0.207Feature12+0.2  Feature107+0.186Feature141-0.183Feature76-0.182Feature50-0.177Feature128+0.176Feature16+0.175Feature115-0.172Feature154+0.172Feature90+0.161Feature89+0.161Feature105+0.157Feature21+0.151Feature103+0.145Feature112+0.142Feature14-0.13Feature24+0.119Feature106+0.115Feature94+0.112Feature11+0.112Feature142+0.101Feature15...' numeric
@attribute '0.36 Feature110+0.311Feature19+0.296Feature109+0.252Feature111+0.22 Feature18+0.211Feature108+0.21 Feature20+0.174Feature97+0.168Feature17+0.134Feature30-0.121Feature15-0.116Feature93-0.112Feature100-0.112Feature45+0.109Feature31+0.105Feature35+0.105Feature74+0.103Feature2-0.101Feature121+0.095Feature91+0.094Feature128-0.091Feature25+0.091Feature98-0.09Feature141-0.089Feature106...' numeric
@attribute '0.344Feature106+0.286Feature15+0.271Feature107+0.245Feature16-0.223Feature12-0.211Feature90-0.204Feature89-0.194Feature11+0.188Feature28-0.171Feature102-0.162Feature103+0.161Feature93+0.158Feature94-0.133Feature91+0.124Feature109+0.12 Feature26+0.11 Feature18+0.106Feature3+0.105Feature75+0.094Feature112+0.093Feature113+0.091Feature33-0.091Feature13+0.09 Feature22+0.09 Feature108...' numeric
@attribute '0.302Feature21-0.246Feature23+0.23 Feature99-0.226Feature114+0.209Feature20-0.203Feature108+0.195Feature112-0.19Feature17+0.175Feature98-0.149Feature105-0.146Feature101-0.135Feature14-0.134Feature95-0.133Feature9+0.132Feature111-0.129Feature45-0.129Feature18+0.126Feature4-0.118Feature96+0.113Feature3+0.112Feature43-0.112Feature49-0.106Feature109+0.103Feature41+0.099Feature47...' numeric
@attribute '-0.315Feature17-0.286Feature108-0.253Feature95+0.174Feature3-0.165Feature99-0.157Feature21-0.155Feature9+0.153Feature4+0.141Feature24+0.14 Feature15+0.125Feature93+0.123Feature23-0.12Feature6+0.12 Feature1-0.119Feature22-0.113Feature75+0.111Feature106-0.109Feature100-0.106Feature10+0.104Feature2-0.103Feature32-0.103Feature144+0.1  Feature79+0.1  Feature123+0.1  Feature34...' numeric
@attribute '-0.356Feature22-0.272Feature113-0.217Feature18-0.194Feature109-0.193Feature100+0.189Feature108-0.182Feature96-0.162Feature5-0.162Feature110+0.16 Feature8+0.156Feature17+0.154Feature48-0.149Feature41+0.147Feature47-0.127Feature19+0.122Feature75+0.12 Feature42+0.12 Feature69-0.119Feature6+0.115Feature4-0.108Feature68-0.102Feature114-0.102Feature23+0.099Feature26+0.098Feature30...' numeric
@attribute '-0.317Feature114-0.293Feature23-0.205Feature20-0.192Feature111-0.172Feature70+0.17 Feature1+0.16 Feature18-0.159Feature69+0.158Feature2-0.149Feature104-0.145Feature40+0.144Feature96-0.143Feature13+0.139Feature71-0.13Feature91-0.125Feature98-0.12Feature101+0.117Feature7-0.116Feature5-0.115Feature37+0.114Feature127-0.114Feature41+0.112Feature72+0.11 Feature109-0.11Feature166...' numeric
@attribute '0.259Feature44-0.238Feature107+0.195Feature15+0.189Feature93-0.171Feature1-0.166Feature2-0.166Feature16+0.16 Feature43-0.151Feature101+0.15 Feature5-0.148Feature29+0.142Feature106+0.138Feature90-0.121Feature26-0.12Feature133+0.117Feature36-0.116Feature25-0.115Feature55-0.115Feature23+0.113Feature151+0.109Feature66+0.109Feature21+0.108Feature37+0.108Feature70+0.105Feature120...' numeric
@attribute 0.231Feature8+0.225Feature20+0.219Feature111+0.215Feature105-0.186Feature91+0.186Feature12+0.169Feature40-0.167Feature13-0.164Feature34+0.162Feature14+0.157Feature72+0.155Feature90-0.152Feature95-0.146Feature4+0.145Feature103+0.136Feature71-0.134Feature104+0.128Feature27+0.124Feature99-0.12Feature48-0.115Feature17-0.109Feature47-0.106Feature112+0.105Feature1+0.103Feature9... numeric
@attribute 0.347Feature46+0.275Feature45-0.214Feature74+0.186Feature69+0.177Feature68-0.173Feature3-0.154Feature122+0.153Feature72-0.151Feature48-0.135Feature148-0.134Feature103+0.133Feature161+0.132Feature57+0.129Feature135+0.125Feature83+0.121Feature107-0.121Feature4+0.119Feature16+0.116Feature67-0.114Feature12-0.111Feature37-0.108Feature28+0.102Feature31+0.098Feature64+0.098Feature91... numeric
@attribute -0.25Feature3-0.235Feature73+0.235Feature5-0.233Feature4-0.213Feature22+0.189Feature75-0.179Feature72-0.167Feature114-0.16Feature113-0.159Feature17+0.153Feature40+0.151Feature64+0.149Feature106+0.145Feature7-0.144Feature100-0.143Feature108-0.136Feature95+0.134Feature15-0.132Feature21-0.128Feature63+0.118Feature11+0.114Feature102+0.113Feature65-0.111Feature25-0.111Feature103... numeric
@attribute '0.273Feature14+0.266Feature105+0.225Feature92+0.184Feature46-0.181Feature100-0.165Feature7-0.161Feature22-0.155Feature42-0.151Feature70+0.146Feature47+0.139Feature35+0.135Feature36-0.128Feature43+0.127Feature9+0.123Feature150-0.123Feature94+0.121Feature29+0.118Feature74-0.116Feature11+0.113Feature124-0.113Feature120+0.111Feature133+0.11 Feature73-0.109Feature99+0.109Feature55...' numeric
@attribute '-0.235Feature39+0.225Feature74+0.225Feature65+0.218Feature40-0.178Feature64-0.169Feature72+0.169Feature8-0.158Feature67+0.158Feature70+0.147Feature1+0.147Feature112+0.145Feature2-0.134Feature90-0.133Feature97-0.132Feature111+0.13 Feature32-0.128Feature48+0.127Feature41+0.124Feature21-0.124Feature106-0.116Feature6-0.11Feature139+0.109Feature94-0.103Feature15-0.103Feature47...' numeric
@attribute '0.259Feature9-0.225Feature3+0.217Feature64-0.215Feature48-0.205Feature4-0.182Feature40+0.18 Feature108+0.172Feature43-0.17Feature19+0.164Feature117-0.163Feature156-0.163Feature49-0.152Feature78-0.142Feature110+0.139Feature143+0.139Feature42-0.138Feature14+0.134Feature17-0.132Feature52-0.129Feature105-0.128Feature92-0.126Feature37+0.123Feature24-0.121Feature8-0.12Feature75...' numeric
@attribute -0.285Feature67-0.259Feature37+0.218Feature69-0.189Feature66+0.177Feature22+0.167Feature65-0.164Feature5-0.164Feature73-0.161Feature10+0.159Feature47-0.157Feature38-0.145Feature41+0.143Feature113-0.137Feature119+0.134Feature54+0.131Feature46+0.129Feature80+0.128Feature158+0.126Feature100-0.123Feature145+0.121Feature39-0.12Feature44+0.117Feature70+0.111Feature132-0.106Feature20... numeric
@attribute 0.242Feature6+0.228Feature39-0.224Feature10+0.223Feature42-0.215Feature9+0.181Feature5+0.168Feature2+0.163Feature47+0.162Feature1-0.153Feature13+0.152Feature74-0.15Feature104-0.141Feature91+0.135Feature73+0.132Feature11+0.131Feature102+0.124Feature37-0.123Feature71-0.122Feature49+0.118Feature107-0.116Feature110-0.114Feature155+0.114Feature89+0.114Feature8+0.108Feature75... numeric
@attribute '-0.225Feature74+0.196Feature89+0.186Feature11-0.179Feature104-0.176Feature42-0.173Feature5-0.167Feature6-0.161Feature2+0.161Feature102-0.155Feature39-0.149Feature13-0.145Feature63+0.139Feature38-0.138Feature1+0.137Feature159+0.133Feature90+0.13 Feature23+0.13 Feature69+0.127Feature8-0.127Feature26+0.127Feature16-0.121Feature156-0.12Feature64+0.118Feature65+0.115Feature81...' numeric
@attribute 0.251Feature43-0.201Feature69+0.192Feature40+0.183Feature44-0.18Feature47-0.176Feature110+0.175Feature73-0.16Feature19+0.157Feature28+0.157Feature37+0.144Feature8+0.144Feature111-0.141Feature119-0.139Feature70-0.138Feature74-0.136Feature12-0.136Feature75-0.134Feature30+0.129Feature7-0.12Feature46+0.119Feature158+0.118Feature92-0.116Feature145-0.115Feature42-0.114Feature162... numeric
@attribute '-0.323Feature39+0.212Feature49+0.195Feature21+0.176Feature48+0.165Feature2+0.165Feature43+0.16 Feature66-0.156Feature110-0.146Feature95+0.141Feature1-0.138Feature41+0.137Feature73-0.133Feature147-0.13Feature37+0.128Feature134-0.128Feature17-0.123Feature75+0.121Feature160-0.121Feature4-0.116Feature158-0.115Feature32+0.114Feature56+0.114Feature112-0.114Feature80+0.112Feature82...' numeric
@attribute '-0.326Feature71-0.302Feature38+0.255Feature68+0.178Feature45+0.153Feature24+0.15 Feature4-0.145Feature107+0.139Feature106+0.137Feature103+0.134Feature18-0.134Feature39-0.129Feature94-0.128Feature16+0.128Feature96+0.123Feature69+0.123Feature26+0.121Feature25+0.12 Feature15-0.119Feature66-0.116Feature70+0.116Feature3+0.116Feature7-0.113Feature9+0.111Feature44-0.109Feature72...' numeric
@attribute Class {-1,1}

@data

-10.61378,-0.430644,1.288586,1.735281,3.554902,0.943433,-1.160851,0.842882,2.128462,-0.078219,0.88782,-2.445324,-0.764578,-0.688336,-2.112085,-0.13035,1.421632,1.173873,0.824952,-1.366346,0.400718,-1.104309,1.347121,-1.727766,-0.991159,-1
-5.447676,-0.80905,0.045882,1.664764,2.679201,0.008716,3.464145,1.250332,-1.277711,-0.345645,1.210905,0.093976,-1.311485,3.814996,0.653437,-0.88738,-1.203936,0.309892,2.0232,-0.055326,-0.705593,0.839884,0.363029,0.437445,0.100745,-1
-8.434081,1.938884,-1.158654,2.002407,2.126345,1.061152,4.095397,0.13629,-2.203092,1.356101,1.358538,-1.756535,0.49494,-0.318128,1.349261,0.434673,1.409645,-0.920444,0.823918,0.420719,-2.576608,-1.395601,0.568186,0.014577,-1.392913,-1
-18.429458,-5.779484,-6.102309,6.473207,4.040436,-6.845108,3.521678,-1.444628,3.212666,-1.899772,3.037497,-4.929337,2.472354,2.102834,0.931779,-0.011669,-2.274329,-4.08992,-1.415545,0.702963,1.575221,2.275576,1.882657,0.727668,2.311866,-1
8.762086,-2.358074,-0.747245,1.143893,2.085724,2.368927,1.333932,1.619758,2.180668,-0.121187,0.402647,0.04527,-0.768317,-1.39366,-2.043929,1.09115,1.092618,-0.5849,-0.050725,0.026108,0.924383,-0.9109,0.218643,-0.151743,0.442154,1
-9.196977,-2.18535,3.102106,-0.613084,-5.099819,0.198261,-0.774031,1.393977,3.525845,0.251523,-0.306121,-1.109128,0.499533,-0.571795,-0.203134,0.16471,0.627571,-1.043474,-0.067294,-0.361816,-0.390419,-0.272694,-0.386338,0.150677,-1.478503,-1
7.455636,4.765562,1.142287,2.214259,-1.363337,0.550003,-0.949438,0.297537,2.613817,1.58732,-2.034315,-0.656775,-2.203298,-1.567424,0.986045,0.859405,-2.114491,-0.531049,-1.093984,-0.885835,-1.569924,0.465713,1.082975,-0.322994,-0.624802,1
0.270496,0.024261,-1.855465,2.273936,-3.505137,1.565176,0.317222,-3.699876,-2.864608,-0.285555,2.182941,-1.068556,-3.060645,0.861309,-0.323302,1.9331,-2.643136,-0.621841,0.958016,-0.640512,-0.031812,0.450546,1.212305,-1.476383,-1.329567,1
-1.746073,4.664269,1.162608,-2.754963,2.714728,-1.0707,0.60479,0.440298,0.110689,-0.474258,0.358705,-1.586892,-1.853493,0.885728,0.912861,-1.936276,0.470638,-1.75613,-0.977592,-1.020768,-2.939294,0.419038,0.838034,-0.521156,-0.799618,-1
2.577218,0.354526,-1.057225,-4.282712,-0.576637,-3.675846,-3.505328,3.232553,-2.113433,1.57726,0.10258,-2.921355,-1.652739,0.715092,-0.027662,-1.478219,0.182979,0.470472,-1.095363,-1.758979,1.345142,-0.498911,1.109155,-1.363864,1.986352,1
-3.389478,-0.578681,0.365515,-0.775472,-3.983078,1.688866,2.156842,1.596824,-1.757415,-0.507838,0.91378,-0.794247,2.066168,-0.116793,0.618304,1.301883,0.968852,1.792817,0.51991,0.744019,-1.964372,-1.001739,1.214217,1.293524,1.51902,-1
-9.058606,-3.999454,-0.81424,3.209457,-1.711158,-1.823273,-2.98895,0.56122,-1.997952,-2.972847,0.304398,0.061055,1.406428,1.956421,4.102062,1.638597,-1.534396,-1.195964,-1.297666,2.671655,-1.592086,0.597064,-0.075854,-1.275617,0.869176,-1
13.824048,-3.884002,1.781388,0.037715,-1.693743,1.458443,0.99368,-2.747361,2.538609,3.399603,2.124381,-1.524012,2.208083,-0.723049,-0.801907,-1.68985,3.47948,-2.150164,0.733271,-0.848722,-2.53327,0.959339,1.465716,-0.316968,-0.929948,1
-6.234177,2.362084,2.544789,-3.298867,2.632619,-1.372862,-1.17269,-3.696949,-0.093344,-1.668574,-0.250766,0.436993,0.257715,1.063615,-0.241486,3.359406,-0.347535,1.490351,0.819769,-1.545375,2.013179,-0.676139,0.932666,-2.571877,-0.531438,-1
3.039494,-1.44182,-3.818286,1.625128,0.226205,-1.356017,-2.142818,1.468646,0.833212,-0.059125,0.25497,-1.184825,1.381192,-1.824196,-0.760969,1.444655,-0.375333,0.603636,-1.380531,-1.126451,0.015033,-1.547536,-1.079271,1.22973,-1.108702,-1
-7.196667,3.493555,0.30772,0.041935,1.991333,3.092103,2.818288,-0.332066,-2.591415,-1.594825,0.599368,1.851055,0.270704,0.592545,-1.765157,0.000298,-0.040047,0.473638,-0.276934,-0.251439,1.485114,-1.76752,-0.978666,0.807971,0.89441,-1
10.648749,2.814216,0.454226,1.465305,-2.261799,1.363076,0.355072,-0.193723,0.732049,-1.433446,0.11607,0.200304,0.546357,-1.57926,-0.32001,0.168557,-2.214168,-1.335241,1.421349,2.667307,1.204031,-0.980305,-0.567039,1.417897,0.417249,1
4.157129,2.637108,-0.435157,0.144523,-1.28781,0.333878,-0.267341,1.203362,1.330597,0.091528,0.389064,-0.342475,-0.402929,-0.564168,1.097314,0.985749,0.484415,0.498529,-0.425234,0.114259,0.331503,-0.109916,1.500298,-0.723717,-0.164684,1
-1.634171,-0.626398,-0.521526,-0.822476,-2.763601,0.905245,-0.32599,-1.360763,-0.310402,1.255611,1.346771,1.285661,0.42265,0.319164,-1.504283,-0.051905,-0.694361,-0.091098,-1.681199,-0.874298,0.552231,-0.781484,0.096242,0.181147,-0.658737,-1
-9.847222,0.858522,0.960887,4.58304,1.386991,-1.548915,3.794525,0.746152,1.034332,-3.712306,0.221784,-2.308433,-1.59386,5.307431,-1.034719,1.754787,0.424437,1.674219,1.738342,0.772521,-1.80381,1.885056,1.643558,0.801985,0.934621,-1
10.778937,-3.741681,2.386234,0.207341,-3.232503,-1.710137,1.74513,-2.641588,2.495692,-0.650108,2.042104,0.894839,-0.125328,-3.47693,-1.198863,0.649109,2.341024,0.460236,-1.587605,-0.827999,1.893126,1.158514,-1.751745,0.719137,0.437536,1
6.917206,2.047702,1.148126,2.163279,-0.732949,-3.014233,1.161397,3.816191,3.402634,3.042211,1.79522,-0.564197,-0.457229,-0.041645,1.191846,0.404946,-0.689591,-1.590338,-0.18602,-0.808031,-0.675982,0.133006,0.436254,-0.816343,0.411803,-1
9.072655,5.771246,-0.317584,0.996999,-1.94122,-0.129502,1.336448,0.602419,0.16906,-1.432666,-1.411705,-2.652186,0.406066,-1.9013,0.794544,3.053702,-0.804678,2.084426,-0.409714,-0.738947,-4.014573,0.167107,1.954645,1.067641,-1.041825,1
4.509925,2.79781,-0.383632,-0.051551,0.167164,2.009429,-0.693866,0.58832,0.775544,-0.261772,-0.99243,1.25868,0.652367,-1.720069,-0.655145,-1.846417,-0.32585,-1.503291,0.129101,0.06041,0.662362,1.316435,0.61884,-0.649573,-0.266547,1
-14.250702,-2.356694,0.942668,2.001049,0.923764,2.482243,-2.571747,1.135307,1.919024,1.026084,-2.722861,0.488312,1.514176,-1.383516,-0.414304,-1.544772,0.401278,3.08176,1.991647,-0.385723,1.760742,2.623499,1.981039,0.6213,-0.263154,-1
0.460944,1.746116,1.285021,-1.705352,-3.548376,-1.257563,-1.913266,2.872597,3.628887,0.499596,-1.146256,-0.471425,0.973429,0.534144,0.521091,-0.502517,-0.563928,-0.989052,-1.600235,-0.218932,-1.666126,-0.146112,-0.464816,1.151911,-0.321691,-1
8.736297,-0.852493,-0.976947,-0.426317,2.19824,2.038801,4.755716,-0.800646,0.726562,-2.110315,1.322758,-1.096042,-1.048859,0.956831,2.408543,0.048852,1.627238,-0.352415,0.024221,-2.026367,-0.757426,1.277741,-1.078354,-0.846755,0.980961,1
16.544209,-1.429915,1.885621,-1.212146,4.15397,2.382524,2.164436,-0.626655,-1.171498,-1.777864,-2.847898,-1.735529,-0.426424,-0.417217,-0.59721,-1.855923,0.054402,-0.329563,1.054032,2.683698,1.781923,-0.383219,-1.755479,-1.284559,-3.48685,1
22.46608,-5.142271,-5.244181,-0.274042,3.222265,-3.705277,-0.476284,1.003185,-0.277493,-1.276124,0.099733,-0.616275,-0.824175,0.385516,-1.534397,-0.428085,-1.335534,0.790786,-1.640481,-1.03887,2.844759,-1.588091,0.079441,-0.953501,-0.271345,1
3.065889,-3.120838,2.35184,0.182146,-1.60864,0.023963,-0.543799,0.244164,2.615272,0.451293,-1.878454,1.366971,-0.688731,-0.27875,0.012059,-0.343294,-0.906454,-0.271312,-0.413086,-0.42204,1.209463,1.100888,-0.065139,-0.022566,1.863246,1
-2.541171,3.682095,-2.88659,-3.826396,0.850314,-1.231962,-0.816773,1.833646,0.290042,-4.576823,-0.793276,-2.149596,2.061613,-0.203008,-2.173621,0.647651,1.48002,0.381874,3.104033,0.600619,-0.542591,2.612964,0.914454,1.809504,-0.28422,1
7.20953,-0.89424,1.899404,-2.979894,1.056634,-0.968311,-0.910949,-0.13435,0.752855,-1.851505,0.984543,1.735089,-3.059074,0.144509,-0.02034,2.731972,-1.825684,0.707693,1.188409,0.425725,0.494807,0.911324,-2.338586,0.85556,0.964389,1
2.343705,2.766745,2.213882,3.136759,1.359374,1.985575,0.2627,-1.575295,-0.539727,1.379015,1.383602,-0.567273,0.578791,-0.122767,0.019238,0.647042,-0.418594,-0.668099,0.069165,-0.339804,-1.026056,0.890448,0.27278,0.160307,-0.156505,1
-2.080087,1.936149,-3.32636,3.281184,0.252951,1.032629,-0.707668,-2.184088,-0.590696,1.395208,-1.400553,1.558141,0.618391,-1.510911,-1.371285,1.34271,-1.670393,2.522993,-0.428009,-0.636261,-1.108867,-0.741411,-0.87233,0.327844,0.041915,-1
3.499491,-2.947985,-3.222949,-0.669885,-3.652014,0.867345,3.293168,0.314806,-5.052085,0.581789,-0.291307,1.244408,4.341764,-2.800175,0.807915,-0.794749,-1.639232,-0.315785,3.013918,-0.671398,-0.733122,-0.114593,-0.614151,-2.341514,1.144131,1
-9.428351,-0.480002,-2.491882,-0.508843,-0.539993,2.254175,0.020735,2.837882,-2.012696,-1.388571,1.836148,2.610637,1.196796,-0.8241,-2.620489,0.022042,0.11413,0.231316,-1.727074,0.971095,-0.375763,0.615772,-1.256493,0.281665,-1.907757,-1
-6.584529,0.405044,-1.124662,-0.728065,1.592588,-2.484662,-3.338988,1.640458,-3.313001,1.084627,1.59577,-0.202196,0.640049,0.345051,-2.096653,-2.297457,-1.132792,0.378487,1.363143,0.224554,-0.036683,-1.032395,-1.106324,-0.416103,0.220814,-1
3.045346,2.0326,-1.3984,1.414696,-1.808863,0.092614,-0.110539,-1.246405,0.694726,-0.199479,1.637383,2.762784,0.152371,-0.041895,1.618463,0.525296,0.749527,2.375873,-1.247528,-0.507557,0.319893,-0.453694,-0.159015,-1.594469,-0.314702,1
