@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.121Feature52-0.121Feature85-0.121Feature78-0.12Feature84-0.12Feature86... numeric
@attribute -0.229Feature33-0.227Feature34-0.223Feature35+0.215Feature98-0.193Feature32... numeric
@attribute -0.226Feature29+0.217Feature94+0.214Feature93+0.203Feature95-0.183Feature30... numeric
@attribute -0.21Feature25-0.208Feature103-0.207Feature102-0.2Feature27-0.186Feature11... numeric
@attribute '0.225Feature50+0.22 Feature154-0.218Feature115+0.213Feature128+0.212Feature76...' numeric
@attribute Class {-1,1}

@data

-10.61378,-0.430644,1.288586,1.735281,3.554902,-1
-5.447676,-0.80905,0.045882,1.664764,2.679201,-1
-8.434081,1.938884,-1.158654,2.002407,2.126345,-1
-18.429458,-5.779484,-6.102309,6.473207,4.040436,-1
8.762086,-2.358074,-0.747245,1.143893,2.085724,1
-9.196977,-2.18535,3.102106,-0.613084,-5.099819,-1
7.455636,4.765562,1.142287,2.214259,-1.363337,1
0.270496,0.024261,-1.855465,2.273936,-3.505137,1
-1.746073,4.664269,1.162608,-2.754963,2.714728,-1
2.577218,0.354526,-1.057225,-4.282712,-0.576637,1
-3.389478,-0.578681,0.365515,-0.775472,-3.983078,-1
-9.058606,-3.999454,-0.81424,3.209457,-1.711158,-1
13.824048,-3.884002,1.781388,0.037715,-1.693743,1
-6.234177,2.362084,2.544789,-3.298867,2.632619,-1
3.039494,-1.44182,-3.818286,1.625128,0.226205,-1
-7.196667,3.493555,0.30772,0.041935,1.991333,-1
10.648749,2.814216,0.454226,1.465305,-2.261799,1
4.157129,2.637108,-0.435157,0.144523,-1.28781,1
-1.634171,-0.626398,-0.521526,-0.822476,-2.763601,-1
-9.847222,0.858522,0.960887,4.58304,1.386991,-1
10.778937,-3.741681,2.386234,0.207341,-3.232503,1
6.917206,2.047702,1.148126,2.163279,-0.732949,-1
9.072655,5.771246,-0.317584,0.996999,-1.94122,1
4.509925,2.79781,-0.383632,-0.051551,0.167164,1
-14.250702,-2.356694,0.942668,2.001049,0.923764,-1
0.460944,1.746116,1.285021,-1.705352,-3.548376,-1
8.736297,-0.852493,-0.976947,-0.426317,2.19824,1
16.544209,-1.429915,1.885621,-1.212146,4.15397,1
22.46608,-5.142271,-5.244181,-0.274042,3.222265,1
3.065889,-3.120838,2.35184,0.182146,-1.60864,1
-2.541171,3.682095,-2.88659,-3.826396,0.850314,1
7.20953,-0.89424,1.899404,-2.979894,1.056634,1
2.343705,2.766745,2.213882,3.136759,1.359374,1
-2.080087,1.936149,-3.32636,3.281184,0.252951,-1
3.499491,-2.947985,-3.222949,-0.669885,-3.652014,1
-9.428351,-0.480002,-2.491882,-0.508843,-0.539993,-1
-6.584529,0.405044,-1.124662,-0.728065,1.592588,-1
3.045346,2.0326,-1.3984,1.414696,-1.808863,1
6.709191,-3.510406,1.177277,2.597001,-2.511379,-1
-4.149998,0.592447,0.560454,-1.721721,0.541418,-1
-0.017335,-0.963005,-0.051489,1.656823,-2.610513,1
-4.431537,0.738838,0.375575,2.975196,1.793953,-1
3.749724,2.793282,-1.150359,-0.892239,-1.425848,1
-11.309437,-4.357237,-0.910293,0.924033,1.73143,-1
-8.009032,0.703006,1.214193,-5.315678,2.072392,-1
5.562465,1.380878,2.04084,-4.076951,3.522784,1
4.891496,4.930427,5.717764,-0.341246,4.335192,-1
-11.60919,2.467295,5.333783,-0.025178,3.817275,-1
-2.755619,-0.279797,2.866659,-4.736133,1.118377,1
5.657039,4.198989,1.258539,1.218586,0.098195,1
-11.452257,-4.609571,-0.540162,4.52861,-0.206624,-1
0.32221,-1.172814,-2.308198,1.153345,-0.270778,1
-4.295858,0.940423,-3.328073,-3.779939,-0.188994,1
4.449396,-2.6359,-2.692314,-1.964027,0.299362,1
-5.435535,0.362746,-2.971428,-6.109785,-3.061906,1
-0.39261,1.440566,-0.283052,-1.028103,-4.22726,1
3.440154,0.593001,-3.389831,-1.264102,-1.930734,-1
6.797676,-1.976652,-0.543323,-0.757159,5.038119,1
1.836599,-2.529955,-4.167614,1.990177,1.161522,-1
8.385258,2.187498,0.318085,-0.509532,1.211245,1
-1.254078,-0.007864,2.600736,0.259823,-1.230704,1
1.875451,0.563029,-0.805763,2.518622,-3.060668,1
-0.58377,3.136604,-0.480282,1.564228,-0.171861,1
3.653778,-0.905342,1.582619,0.965412,-1.80078,1
-0.284177,2.41743,-0.197651,1.812476,0.726531,-1
0.445908,3.851637,1.25221,2.227069,-0.690683,-1
-0.247728,1.512599,-1.794289,0.148057,-0.506603,1
3.710719,2.503404,-2.64368,0.130087,-1.40294,1
-2.555319,-3.960475,2.396323,-4.501186,-2.774789,-1
-0.279916,1.866248,1.69985,2.220422,2.31598,-1
-4.269373,-0.292061,-0.631553,1.957414,-3.314552,-1
-4.184114,-2.84224,4.393649,-4.894181,1.033061,1
5.734074,-4.65495,1.932425,0.357813,4.341826,1
1.778383,2.564623,-0.890653,-0.29767,-0.37437,-1
-15.713642,1.56265,-1.018901,-4.387998,-0.575063,-1
-12.464577,2.188523,-2.46462,-3.471002,-2.837938,-1
9.248761,0.098869,2.911667,-5.336012,3.599345,1
8.313857,-3.119383,2.930193,-0.274259,-3.268673,1
19.265913,-11.400874,0.561592,3.661494,2.262101,1
-12.660648,-2.910664,-2.127597,-8.092445,-0.071549,1
3.708821,4.449965,-0.444139,-0.132953,2.988058,-1
9.206584,1.291938,2.736951,4.563877,3.542285,1
1.90613,-1.02246,1.013628,1.024818,-3.483446,1
3.595913,-3.166444,-0.620138,-1.069749,-1.652943,1
-6.460154,-0.424979,1.312075,-2.60805,-0.489251,-1
18.67932,-4.848445,-7.257273,4.842548,-2.206125,1
-6.246531,4.898708,-1.20725,-0.523205,1.830868,1
-5.974861,3.72291,-4.754623,-1.154518,-1.342342,1
-4.78387,3.794043,-1.47871,3.581331,2.095791,-1
-9.092391,-6.310106,-0.237075,6.880484,1.904026,-1
5.575407,0.593783,0.983589,-11.301422,2.617853,1
-0.844209,-6.447719,3.765333,3.098182,2.655631,1
5.504615,4.493269,-1.392774,1.328614,-0.291452,1
11.710014,-1.280108,-0.389611,-2.048701,-0.414541,1
3.863686,1.472947,2.15115,-2.615672,2.831108,1
25.826748,-2.055898,2.761605,2.213907,-1.016014,1
6.02681,-2.952539,0.815146,2.436287,-2.514928,-1
-8.437188,-1.762374,-2.824884,-5.01421,-0.994686,1
-1.520086,0.555677,0.063065,-4.106961,-2.637586,1
-4.298753,1.294677,5.030454,2.086849,2.914833,-1
-7.015196,-11.139331,-1.246357,0.979682,2.408957,1
6.184284,-4.709596,0.637052,0.573989,-1.46368,1
0.688868,1.123025,-1.457148,0.537835,-0.413992,-1
-4.769702,-1.051645,-0.485005,-0.579946,-2.738883,-1
-1.598814,1.613895,-2.963715,-0.124919,0.172382,1
-0.104226,1.275693,-0.702055,1.925476,-1.003704,-1
2.072722,-1.259526,-1.752643,0.11817,-1.201406,1
2.254124,-6.77678,2.65143,-3.787999,-1.079421,1
-9.2182,0.594501,-1.493693,-6.563274,-1.143462,1
-10.262336,1.73036,-2.663154,-2.2821,-2.384705,-1
-5.675702,2.768275,-2.436623,-2.628363,-3.973159,1
6.148353,-1.400328,0.589874,-1.477613,-3.705555,1
8.296642,6.861973,3.302553,3.508124,-1.092497,-1
-0.00213,4.238595,2.070069,3.244033,-2.402087,-1
