@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A10-M10'

@attribute -0.124Feature84-0.122Feature85-0.121Feature162+0.121Feature149-0.121Feature52-0.121Feature86-0.12Feature58-0.12Feature78+0.119Feature148+0.119Feature150... numeric
@attribute -0.23Feature33-0.226Feature34-0.21Feature35+0.203Feature98+0.196Feature99-0.195Feature32-0.178Feature31-0.174Feature36+0.174Feature97+0.156Feature100... numeric
@attribute 0.186Feature103+0.157Feature96+0.149Feature94+0.148Feature95+0.147Feature25-0.146Feature116-0.14Feature30+0.139Feature51+0.134Feature129-0.133Feature115... numeric
@attribute '0.215Feature26+0.209Feature29+0.206Feature27+0.19 Feature28+0.189Feature102+0.157Feature11-0.148Feature95-0.145Feature93+0.141Feature104-0.136Feature96...' numeric
@attribute 0.216Feature50+0.215Feature14+0.214Feature92+0.212Feature128+0.207Feature76-0.206Feature141+0.206Feature154-0.203Feature115+0.175Feature90+0.152Feature105... numeric
@attribute 0.258Feature13+0.257Feature91+0.226Feature104+0.208Feature89+0.202Feature12+0.196Feature90+0.175Feature105+0.157Feature14+0.154Feature11-0.152Feature50... numeric
@attribute -0.321Feature110-0.316Feature19-0.278Feature111-0.259Feature20-0.254Feature109-0.195Feature108-0.192Feature97-0.168Feature18-0.144Feature17-0.135Feature30... numeric
@attribute '-0.284Feature106-0.282Feature107-0.268Feature16-0.244Feature15-0.202Feature94+0.19 Feature89+0.19 Feature11+0.187Feature90-0.186Feature23+0.176Feature12...' numeric
@attribute '-0.312Feature21+0.238Feature23-0.235Feature99+0.234Feature114-0.206Feature20-0.187Feature112+0.163Feature17-0.161Feature106+0.16 Feature101-0.155Feature1...' numeric
@attribute '0.33 Feature108+0.321Feature17-0.225Feature114-0.213Feature23+0.203Feature95-0.201Feature91-0.187Feature19-0.182Feature13-0.158Feature104+0.158Feature105...' numeric
@attribute Class {-1,1}

@data

0.475213,-0.507873,-0.708364,0.814483,2.827877,0.011745,0.95372,-0.665237,1.086552,2.112543,1
3.714316,-1.041341,-0.951899,-4.74477,-3.597749,-1.978436,0.260861,-1.283837,0.997601,-0.809468,-1
8.3542,3.615126,2.947377,2.740476,5.295244,-0.441112,0.958242,0.223645,-0.272332,0.092375,1
-0.598584,-1.783228,-1.218603,-3.380235,0.215522,-1.938858,-0.632211,-0.387096,0.026767,-1.683111,-1
2.00529,-0.682226,-0.360094,-3.146957,-2.166095,2.1169,0.238576,0.303612,4.036012,3.02091,1
-2.575958,2.945229,0.762356,0.677099,-1.364277,-2.688975,-0.808897,-1.327625,1.206389,0.703245,-1
5.613479,1.530309,4.237352,3.07038,3.035805,0.286092,0.426383,1.100206,-1.355908,-1.509509,1
2.774701,0.648416,2.741791,3.020402,-2.051026,-4.406546,0.831538,-4.157951,2.092875,-0.4772,1
5.610313,-1.872639,1.532392,0.561377,-5.639776,-0.378001,0.334688,2.16955,-2.807898,-2.736209,1
-5.225768,-0.903308,-0.47824,-3.184042,-2.043969,-1.933218,-0.628996,1.454087,0.759904,-0.808922,-1
10.169378,-0.95967,-1.23333,-1.367702,-1.0896,-3.45589,2.369168,2.864306,-0.495066,-2.238837,1
-5.513545,-1.378941,10.038218,-2.141744,5.200461,1.443897,-1.163868,-3.020238,2.513749,-1.372824,-1
0.19626,2.559343,0.502143,1.52904,-1.432263,-0.695696,0.191427,-0.815399,2.569446,-1.326924,1
-4.195123,0.952281,0.451124,-0.048016,-2.399979,0.193974,-0.865413,-2.517681,2.33822,-0.618661,-1
0.953731,3.286624,1.797051,2.040964,1.101158,-0.616459,-2.326401,-0.336004,-0.067623,1.885973,1
0.490081,0.823736,1.152812,0.602883,5.554553,1.211031,2.752377,0.106991,4.273235,-2.287157,1
-3.790849,3.546217,-3.30361,-2.047335,2.552956,-0.000114,0.224279,-0.083035,-3.80175,-1.232701,-1
