@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A15-M15'

@attribute -0.124Feature84-0.122Feature85-0.121Feature162+0.121Feature149-0.121Feature52-0.121Feature86-0.12Feature58-0.12Feature78+0.119Feature148+0.119Feature150-0.119Feature57-0.119Feature163-0.119Feature164-0.118Feature59-0.118Feature83... numeric
@attribute '-0.23Feature33-0.226Feature34-0.21Feature35+0.203Feature98+0.196Feature99-0.195Feature32-0.178Feature31-0.174Feature36+0.174Feature97+0.156Feature100-0.154Feature30+0.15 Feature101+0.146Feature96-0.144Feature113-0.124Feature29...' numeric
@attribute '0.186Feature103+0.157Feature96+0.149Feature94+0.148Feature95+0.147Feature25-0.146Feature116-0.14Feature30+0.139Feature51+0.134Feature129-0.133Feature115-0.133Feature127+0.131Feature18+0.13 Feature140+0.129Feature102-0.128Feature31...' numeric
@attribute '0.215Feature26+0.209Feature29+0.206Feature27+0.19 Feature28+0.189Feature102+0.157Feature11-0.148Feature95-0.145Feature93+0.141Feature104-0.136Feature96+0.136Feature24+0.134Feature25-0.129Feature1-0.129Feature92-0.129Feature94...' numeric
@attribute 0.216Feature50+0.215Feature14+0.214Feature92+0.212Feature128+0.207Feature76-0.206Feature141+0.206Feature154-0.203Feature115+0.175Feature90+0.152Feature105-0.139Feature25-0.134Feature36+0.134Feature24-0.132Feature140+0.131Feature101... numeric
@attribute 0.258Feature13+0.257Feature91+0.226Feature104+0.208Feature89+0.202Feature12+0.196Feature90+0.175Feature105+0.157Feature14+0.154Feature11-0.152Feature50-0.151Feature128-0.15Feature24-0.147Feature76+0.146Feature141-0.144Feature154... numeric
@attribute '-0.321Feature110-0.316Feature19-0.278Feature111-0.259Feature20-0.254Feature109-0.195Feature108-0.192Feature97-0.168Feature18-0.144Feature17-0.135Feature30+0.12 Feature89+0.117Feature121-0.117Feature98+0.109Feature100-0.105Feature28...' numeric
@attribute '-0.284Feature106-0.282Feature107-0.268Feature16-0.244Feature15-0.202Feature94+0.19 Feature89+0.19 Feature11+0.187Feature90-0.186Feature23+0.176Feature12+0.174Feature102-0.165Feature114-0.146Feature93-0.135Feature101+0.132Feature98...' numeric
@attribute '-0.312Feature21+0.238Feature23-0.235Feature99+0.234Feature114-0.206Feature20-0.187Feature112+0.163Feature17-0.161Feature106+0.16 Feature101-0.155Feature1-0.154Feature111+0.148Feature108-0.147Feature107-0.146Feature2-0.135Feature98...' numeric
@attribute '0.33 Feature108+0.321Feature17-0.225Feature114-0.213Feature23+0.203Feature95-0.201Feature91-0.187Feature19-0.182Feature13-0.158Feature104+0.158Feature105-0.155Feature22+0.147Feature8-0.143Feature110-0.137Feature15+0.13 Feature14...' numeric
@attribute 0.323Feature4-0.268Feature5+0.268Feature3-0.237Feature9-0.21Feature6-0.163Feature22-0.143Feature17-0.134Feature100-0.134Feature108-0.131Feature113-0.13Feature64+0.129Feature24+0.123Feature120-0.116Feature99-0.115Feature110... numeric
@attribute '-0.347Feature18-0.331Feature109-0.231Feature96-0.197Feature113-0.188Feature22+0.157Feature12+0.145Feature104+0.143Feature103+0.133Feature16+0.133Feature94+0.131Feature26+0.13 Feature105+0.123Feature42-0.123Feature44+0.114Feature48...' numeric
@attribute '-0.231Feature71+0.197Feature46+0.184Feature4-0.183Feature2-0.174Feature101+0.162Feature36+0.16 Feature17-0.16Feature1+0.16 Feature161-0.159Feature122+0.152Feature57+0.148Feature135+0.145Feature83-0.142Feature148+0.14 Feature44...' numeric
@attribute '-0.249Feature105-0.223Feature14-0.22Feature45-0.204Feature46+0.175Feature37-0.142Feature92+0.138Feature43+0.137Feature73+0.137Feature16+0.131Feature138+0.13 Feature60+0.128Feature118-0.127Feature157-0.127Feature125+0.125Feature44...' numeric
@attribute '-0.198Feature63+0.19 Feature65+0.181Feature15+0.18 Feature70-0.174Feature68+0.163Feature40+0.158Feature44+0.151Feature8+0.149Feature106+0.147Feature12+0.146Feature90-0.139Feature72-0.137Feature95-0.136Feature3-0.134Feature97...' numeric
@attribute Class {-1,1}

@data

0.475213,-0.507873,-0.708364,0.814483,2.827877,0.011745,0.95372,-0.665237,1.086552,2.112543,-2.869739,0.219757,2.214905,0.088332,-0.646009,1
3.714316,-1.041341,-0.951899,-4.74477,-3.597749,-1.978436,0.260861,-1.283837,0.997601,-0.809468,-0.548742,-0.159686,0.869572,1.259432,-1.751269,-1
8.3542,3.615126,2.947377,2.740476,5.295244,-0.441112,0.958242,0.223645,-0.272332,0.092375,0.780126,-1.078766,1.937455,-0.643333,0.734141,1
-0.598584,-1.783228,-1.218603,-3.380235,0.215522,-1.938858,-0.632211,-0.387096,0.026767,-1.683111,-5.074337,3.123708,-0.299363,2.096042,1.261432,-1
2.00529,-0.682226,-0.360094,-3.146957,-2.166095,2.1169,0.238576,0.303612,4.036012,3.02091,1.597487,0.537405,-0.748751,-1.611709,0.864594,1
-2.575958,2.945229,0.762356,0.677099,-1.364277,-2.688975,-0.808897,-1.327625,1.206389,0.703245,-0.28366,1.556003,-2.101961,0.64852,0.528865,-1
5.613479,1.530309,4.237352,3.07038,3.035805,0.286092,0.426383,1.100206,-1.355908,-1.509509,-1.098573,-0.409233,-1.008053,1.524028,-1.454122,1
2.774701,0.648416,2.741791,3.020402,-2.051026,-4.406546,0.831538,-4.157951,2.092875,-0.4772,1.241809,1.097911,0.195282,-0.27433,-0.282343,1
5.610313,-1.872639,1.532392,0.561377,-5.639776,-0.378001,0.334688,2.16955,-2.807898,-2.736209,-1.591071,1.067677,0.314995,-1.766775,2.179703,1
-5.225768,-0.903308,-0.47824,-3.184042,-2.043969,-1.933218,-0.628996,1.454087,0.759904,-0.808922,0.922586,1.792215,0.822058,1.3734,-1.144503,-1
10.169378,-0.95967,-1.23333,-1.367702,-1.0896,-3.45589,2.369168,2.864306,-0.495066,-2.238837,2.192537,-0.72615,-1.0839,2.851865,-0.564969,1
-5.513545,-1.378941,10.038218,-2.141744,5.200461,1.443897,-1.163868,-3.020238,2.513749,-1.372824,-1.748967,-0.205335,0.198625,-0.591238,-2.235665,-1
0.19626,2.559343,0.502143,1.52904,-1.432263,-0.695696,0.191427,-0.815399,2.569446,-1.326924,1.445422,2.077306,-1.341318,-1.118373,0.450054,1
-4.195123,0.952281,0.451124,-0.048016,-2.399979,0.193974,-0.865413,-2.517681,2.33822,-0.618661,1.923739,0.531727,-1.537533,-2.027331,-0.276658,-1
0.953731,3.286624,1.797051,2.040964,1.101158,-0.616459,-2.326401,-0.336004,-0.067623,1.885973,0.927677,1.45814,0.557743,-1.801039,-2.457465,1
0.490081,0.823736,1.152812,0.602883,5.554553,1.211031,2.752377,0.106991,4.273235,-2.287157,3.630339,-0.146278,1.946754,-0.544762,0.758982,1
-3.790849,3.546217,-3.30361,-2.047335,2.552956,-0.000114,0.224279,-0.083035,-3.80175,-1.232701,1.362068,-2.729906,-2.90676,-1.360955,2.190636,-1
-7.168223,-0.402563,-4.615572,-0.703429,2.079526,0.120626,-1.222265,0.671559,-0.77316,-1.8131,-0.812106,3.125458,0.120278,3.27046,1.561332,-1
5.702804,-8.435061,2.756451,-3.073434,-2.757425,-0.421949,-0.649708,1.139825,0.141281,2.643491,-1.864524,-1.921198,0.827096,-1.333366,-0.654269,1
2.204829,-0.853735,-0.837131,0.558106,-1.639463,1.719182,1.858074,-2.417884,-0.636563,1.486281,1.453834,-0.064113,2.016679,-2.464734,0.105755,1
7.320505,2.338207,-0.305707,-3.005909,1.319017,2.590259,-0.769551,1.141672,0.75932,-0.86787,0.73755,0.021628,-1.547219,-1.034575,-0.419335,-1
0.859468,1.927853,-1.49923,-0.12675,3.293578,1.644663,1.962757,0.384986,0.253416,1.136156,1.500861,0.605799,-1.521544,0.383222,-1.687525,-1
-1.599563,0.844418,0.075946,-1.600703,2.514121,-1.493113,0.718862,2.714489,0.235594,-1.49607,2.052634,1.145738,1.862021,-0.419546,-0.586776,-1
7.799459,-0.644064,-0.659542,1.477769,0.996363,1.072126,2.380322,0.248991,0.424625,-2.319686,-2.0525,1.91415,-2.37671,1.957575,0.453403,1
