@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A25-M25'

@attribute -0.124Feature84-0.122Feature85-0.121Feature162+0.121Feature149-0.121Feature52-0.121Feature86-0.12Feature58-0.12Feature78+0.119Feature148+0.119Feature150-0.119Feature57-0.119Feature163-0.119Feature164-0.118Feature59-0.118Feature83-0.118Feature56-0.117Feature136+0.117Feature151-0.117Feature79-0.117Feature87-0.117Feature60-0.116Feature157-0.116Feature54-0.116Feature156-0.116Feature53... numeric
@attribute '-0.23Feature33-0.226Feature34-0.21Feature35+0.203Feature98+0.196Feature99-0.195Feature32-0.178Feature31-0.174Feature36+0.174Feature97+0.156Feature100-0.154Feature30+0.15 Feature101+0.146Feature96-0.144Feature113-0.124Feature29+0.122Feature126+0.116Feature94-0.113Feature27-0.111Feature112-0.109Feature61-0.108Feature139+0.107Feature93-0.105Feature28+0.103Feature92+0.101Feature125...' numeric
@attribute '0.186Feature103+0.157Feature96+0.149Feature94+0.148Feature95+0.147Feature25-0.146Feature116-0.14Feature30+0.139Feature51+0.134Feature129-0.133Feature115-0.133Feature127+0.131Feature18+0.13 Feature140+0.129Feature102-0.128Feature31-0.127Feature101+0.126Feature62+0.125Feature15+0.122Feature12+0.119Feature50+0.117Feature36+0.116Feature16+0.113Feature154-0.112Feature153+0.112Feature93...' numeric
@attribute '0.215Feature26+0.209Feature29+0.206Feature27+0.19 Feature28+0.189Feature102+0.157Feature11-0.148Feature95-0.145Feature93+0.141Feature104-0.136Feature96+0.136Feature24+0.134Feature25-0.129Feature1-0.129Feature92-0.129Feature94+0.126Feature30-0.123Feature18+0.118Feature31-0.116Feature87+0.114Feature22+0.114Feature103+0.114Feature152-0.109Feature165-0.107Feature61+0.106Feature126...' numeric
@attribute '0.216Feature50+0.215Feature14+0.214Feature92+0.212Feature128+0.207Feature76-0.206Feature141+0.206Feature154-0.203Feature115+0.175Feature90+0.152Feature105-0.139Feature25-0.134Feature36+0.134Feature24-0.132Feature140+0.131Feature101-0.126Feature62+0.123Feature22-0.121Feature166-0.12Feature97-0.119Feature88+0.115Feature91+0.113Feature112+0.111Feature127+0.111Feature12+0.11 Feature13...' numeric
@attribute '0.258Feature13+0.257Feature91+0.226Feature104+0.208Feature89+0.202Feature12+0.196Feature90+0.175Feature105+0.157Feature14+0.154Feature11-0.152Feature50-0.151Feature128-0.15Feature24-0.147Feature76+0.146Feature141-0.144Feature154+0.142Feature115+0.134Feature107+0.131Feature112-0.129Feature20-0.125Feature23+0.124Feature103+0.12 Feature92-0.12Feature41+0.115Feature142+0.114Feature21...' numeric
@attribute '-0.321Feature110-0.316Feature19-0.278Feature111-0.259Feature20-0.254Feature109-0.195Feature108-0.192Feature97-0.168Feature18-0.144Feature17-0.135Feature30+0.12 Feature89+0.117Feature121-0.117Feature98+0.109Feature100-0.105Feature28-0.104Feature128+0.104Feature93+0.101Feature7-0.101Feature31+0.1  Feature11-0.098Feature56-0.096Feature2+0.092Feature21-0.092Feature160-0.09Feature74...' numeric
@attribute '-0.284Feature106-0.282Feature107-0.268Feature16-0.244Feature15-0.202Feature94+0.19 Feature89+0.19 Feature11+0.187Feature90-0.186Feature23+0.176Feature12+0.174Feature102-0.165Feature114-0.146Feature93-0.135Feature101+0.132Feature98-0.127Feature105-0.122Feature22-0.121Feature28-0.118Feature113+0.111Feature154-0.108Feature45+0.106Feature103+0.102Feature20+0.1  Feature43-0.094Feature115...' numeric
@attribute '-0.312Feature21+0.238Feature23-0.235Feature99+0.234Feature114-0.206Feature20-0.187Feature112+0.163Feature17-0.161Feature106+0.16 Feature101-0.155Feature1-0.154Feature111+0.148Feature108-0.147Feature107-0.146Feature2-0.135Feature98+0.128Feature95-0.124Feature16+0.121Feature89+0.121Feature70+0.12 Feature11-0.119Feature15+0.112Feature49+0.103Feature34-0.102Feature41-0.1Feature28...' numeric
@attribute '0.33 Feature108+0.321Feature17-0.225Feature114-0.213Feature23+0.203Feature95-0.201Feature91-0.187Feature19-0.182Feature13-0.158Feature104+0.158Feature105-0.155Feature22+0.147Feature8-0.143Feature110-0.137Feature15+0.13 Feature14-0.129Feature93-0.127Feature97-0.117Feature100-0.116Feature106+0.11 Feature29-0.109Feature68-0.104Feature41-0.102Feature166+0.102Feature127+0.101Feature9...' numeric
@attribute '0.323Feature4-0.268Feature5+0.268Feature3-0.237Feature9-0.21Feature6-0.163Feature22-0.143Feature17-0.134Feature100-0.134Feature108-0.131Feature113-0.13Feature64+0.129Feature24+0.123Feature120-0.116Feature99-0.115Feature110+0.115Feature47+0.114Feature39-0.107Feature55-0.106Feature32-0.104Feature95-0.104Feature10+0.102Feature123-0.101Feature133-0.1Feature91+0.1  Feature80...' numeric
@attribute '-0.347Feature18-0.331Feature109-0.231Feature96-0.197Feature113-0.188Feature22+0.157Feature12+0.145Feature104+0.143Feature103+0.133Feature16+0.133Feature94+0.131Feature26+0.13 Feature105+0.123Feature42-0.123Feature44+0.114Feature48+0.109Feature14+0.109Feature49+0.108Feature90+0.108Feature8-0.108Feature68+0.107Feature69-0.104Feature102+0.101Feature107-0.101Feature110-0.1Feature35...' numeric
@attribute '-0.231Feature71+0.197Feature46+0.184Feature4-0.183Feature2-0.174Feature101+0.162Feature36+0.16 Feature17-0.16Feature1+0.16 Feature161-0.159Feature122+0.152Feature57+0.148Feature135+0.145Feature83-0.142Feature148+0.14 Feature44+0.134Feature31-0.132Feature23-0.132Feature103-0.131Feature96+0.131Feature95+0.126Feature45+0.126Feature69-0.125Feature27+0.124Feature151-0.122Feature138...' numeric
@attribute '-0.249Feature105-0.223Feature14-0.22Feature45-0.204Feature46+0.175Feature37-0.142Feature92+0.138Feature43+0.137Feature73+0.137Feature16+0.131Feature138+0.13 Feature60+0.128Feature118-0.127Feature157-0.127Feature125+0.125Feature44+0.124Feature106+0.124Feature164-0.123Feature151+0.122Feature108+0.12 Feature86+0.119Feature5-0.117Feature79-0.117Feature53+0.117Feature102-0.114Feature113...' numeric
@attribute '-0.198Feature63+0.19 Feature65+0.181Feature15+0.18 Feature70-0.174Feature68+0.163Feature40+0.158Feature44+0.151Feature8+0.149Feature106+0.147Feature12+0.146Feature90-0.139Feature72-0.137Feature95-0.136Feature3-0.134Feature97+0.133Feature10+0.133Feature93-0.124Feature26-0.124Feature29+0.122Feature30+0.12 Feature66+0.119Feature32-0.117Feature104-0.11Feature19-0.107Feature123...' numeric
@attribute '0.258Feature22+0.227Feature113+0.223Feature3-0.197Feature107-0.193Feature16-0.164Feature68+0.162Feature4-0.161Feature8-0.16Feature45-0.152Feature94+0.144Feature100+0.136Feature122+0.133Feature48-0.132Feature42+0.127Feature25-0.123Feature7-0.122Feature64-0.121Feature57-0.12Feature11-0.116Feature102-0.113Feature89+0.11 Feature47-0.108Feature9-0.105Feature135-0.105Feature90...' numeric
@attribute '0.189Feature112-0.189Feature75+0.179Feature46-0.17Feature106-0.159Feature72+0.158Feature34-0.153Feature39-0.152Feature42+0.15 Feature74+0.148Feature91-0.145Feature17+0.138Feature9+0.132Feature124-0.131Feature137+0.13 Feature161-0.13Feature59-0.126Feature163+0.126Feature135-0.126Feature151+0.125Feature25-0.124Feature111-0.122Feature148+0.122Feature83-0.12Feature15-0.119Feature33...' numeric
@attribute '-0.261Feature67+0.231Feature75+0.223Feature65-0.212Feature73-0.204Feature103-0.198Feature12+0.175Feature8+0.171Feature48+0.17 Feature74+0.168Feature49+0.159Feature40-0.138Feature108-0.135Feature20-0.134Feature66-0.129Feature90-0.129Feature146-0.125Feature111-0.124Feature106+0.122Feature81-0.118Feature120+0.115Feature1+0.114Feature159+0.111Feature2+0.108Feature55+0.108Feature107...' numeric
@attribute '-0.272Feature44-0.25Feature37+0.218Feature46+0.19 Feature47-0.183Feature40-0.18Feature103+0.168Feature69-0.163Feature1+0.16 Feature15-0.157Feature2-0.148Feature25+0.148Feature106+0.141Feature91-0.137Feature73-0.134Feature3-0.134Feature100-0.129Feature22+0.125Feature64-0.122Feature109-0.116Feature16-0.115Feature94-0.115Feature18-0.112Feature43+0.109Feature13+0.105Feature93...' numeric
@attribute '-0.226Feature114-0.211Feature23+0.204Feature49-0.18Feature69-0.171Feature38-0.149Feature105+0.144Feature43-0.142Feature95+0.141Feature93+0.134Feature15+0.133Feature2+0.129Feature156+0.129Feature130-0.126Feature17-0.125Feature12+0.122Feature155-0.121Feature27-0.119Feature101-0.116Feature73-0.114Feature117-0.112Feature3+0.111Feature77+0.11 Feature5+0.109Feature52-0.109Feature14...' numeric
@attribute '0.327Feature73-0.252Feature70+0.234Feature42+0.22 Feature1+0.216Feature43+0.206Feature2-0.191Feature40-0.172Feature71+0.168Feature74+0.16 Feature6+0.147Feature46-0.144Feature20-0.14Feature111+0.138Feature49-0.136Feature4+0.127Feature5-0.126Feature119+0.122Feature68-0.121Feature93-0.12Feature37-0.111Feature110-0.111Feature69-0.11Feature38+0.108Feature28-0.107Feature7...' numeric
@attribute '-0.272Feature69-0.19Feature47+0.183Feature40-0.183Feature66+0.177Feature64-0.166Feature46-0.165Feature70-0.157Feature1+0.154Feature74-0.147Feature2+0.142Feature10-0.141Feature90-0.139Feature26+0.138Feature3+0.124Feature14-0.123Feature130+0.123Feature91+0.121Feature43+0.117Feature65+0.117Feature92-0.116Feature21-0.116Feature39+0.11 Feature111+0.109Feature25-0.108Feature107...' numeric
@attribute '0.278Feature64+0.18 Feature48+0.174Feature2+0.173Feature95-0.173Feature6-0.171Feature63+0.164Feature1-0.163Feature14+0.158Feature68-0.158Feature8+0.156Feature17+0.155Feature41-0.152Feature39+0.151Feature104-0.15Feature105-0.148Feature29-0.147Feature66+0.136Feature74+0.132Feature67+0.131Feature13+0.131Feature9+0.123Feature7-0.121Feature92-0.114Feature107+0.113Feature38...' numeric
@attribute '-0.24Feature39-0.2Feature74+0.192Feature72-0.189Feature42-0.168Feature67+0.157Feature45+0.153Feature65-0.151Feature110+0.151Feature49+0.148Feature21-0.139Feature47-0.135Feature6-0.135Feature64-0.132Feature5+0.128Feature43+0.128Feature134+0.127Feature163-0.126Feature147+0.124Feature56+0.12 Feature44+0.12 Feature85-0.12Feature19+0.12 Feature104-0.119Feature15-0.118Feature150...' numeric
@attribute -0.311Feature71-0.295Feature63-0.273Feature38-0.248Feature5+0.226Feature69-0.22Feature37+0.211Feature75-0.211Feature10-0.186Feature6-0.175Feature47+0.157Feature44+0.145Feature25-0.124Feature68-0.122Feature3-0.117Feature107-0.116Feature64-0.116Feature16-0.108Feature90-0.1Feature134-0.099Feature36+0.099Feature164+0.098Feature86+0.097Feature101-0.095Feature94-0.092Feature4... numeric
@attribute Class {-1,1}

@data

0.475213,-0.507873,-0.708364,0.814483,2.827877,0.011745,0.95372,-0.665237,1.086552,2.112543,-2.869739,0.219757,2.214905,0.088332,-0.646009,0.45686,0.712777,1.275403,-2.497649,-2.15561,1.118926,1.066406,-0.000969,2.793569,0.514004,1
3.714316,-1.041341,-0.951899,-4.74477,-3.597749,-1.978436,0.260861,-1.283837,0.997601,-0.809468,-0.548742,-0.159686,0.869572,1.259432,-1.751269,-0.408292,-1.000207,-0.632175,0.569285,-1.181744,0.632558,-0.287227,0.971351,0.653549,-0.562716,-1
8.3542,3.615126,2.947377,2.740476,5.295244,-0.441112,0.958242,0.223645,-0.272332,0.092375,0.780126,-1.078766,1.937455,-0.643333,0.734141,1.925541,0.931229,-1.397471,-1.216391,-0.901336,1.808488,-0.54004,-0.10729,2.212901,1.492968,1
-0.598584,-1.783228,-1.218603,-3.380235,0.215522,-1.938858,-0.632211,-0.387096,0.026767,-1.683111,-5.074337,3.123708,-0.299363,2.096042,1.261432,1.892101,-0.062222,-0.592912,1.67146,2.825166,1.759481,2.057015,-1.595191,-0.726126,-2.325806,-1
2.00529,-0.682226,-0.360094,-3.146957,-2.166095,2.1169,0.238576,0.303612,4.036012,3.02091,1.597487,0.537405,-0.748751,-1.611709,0.864594,2.110685,-0.876242,1.41461,0.385866,0.259499,0.13386,0.376897,1.905941,0.787952,-2.11008,1
-2.575958,2.945229,0.762356,0.677099,-1.364277,-2.688975,-0.808897,-1.327625,1.206389,0.703245,-0.28366,1.556003,-2.101961,0.64852,0.528865,0.119313,1.476696,-3.223721,-0.181727,0.829517,-2.403435,-2.03322,0.081393,-1.344372,2.025143,-1
5.613479,1.530309,4.237352,3.07038,3.035805,0.286092,0.426383,1.100206,-1.355908,-1.509509,-1.098573,-0.409233,-1.008053,1.524028,-1.454122,1.331277,0.277268,0.255568,2.063929,-2.405866,-0.170006,1.269396,-0.298955,0.019337,0.581629,1
2.774701,0.648416,2.741791,3.020402,-2.051026,-4.406546,0.831538,-4.157951,2.092875,-0.4772,1.241809,1.097911,0.195282,-0.27433,-0.282343,-0.851233,0.456889,-0.297438,-1.941436,-1.343164,-0.129774,0.692055,-2.302382,-1.84617,2.275481,1
5.610313,-1.872639,1.532392,0.561377,-5.639776,-0.378001,0.334688,2.16955,-2.807898,-2.736209,-1.591071,1.067677,0.314995,-1.766775,2.179703,-0.977177,2.421166,2.270016,1.052876,-0.623209,1.096431,-0.745579,0.308525,0.335305,1.161094,1
-5.225768,-0.903308,-0.47824,-3.184042,-2.043969,-1.933218,-0.628996,1.454087,0.759904,-0.808922,0.922586,1.792215,0.822058,1.3734,-1.144503,-0.027054,0.685332,0.008557,0.758223,-1.62265,-0.732686,1.104398,-2.058146,0.612473,1.41507,-1
10.169378,-0.95967,-1.23333,-1.367702,-1.0896,-3.45589,2.369168,2.864306,-0.495066,-2.238837,2.192537,-0.72615,-1.0839,2.851865,-0.564969,-0.559869,-0.698739,-1.047545,-0.864007,-0.751002,-0.517244,-0.114487,-0.812793,1.057361,-0.061363,1
-5.513545,-1.378941,10.038218,-2.141744,5.200461,1.443897,-1.163868,-3.020238,2.513749,-1.372824,-1.748967,-0.205335,0.198625,-0.591238,-2.235665,1.793151,-2.401481,0.693741,0.239538,0.854859,-0.747852,-0.634317,-1.284406,-1.721257,-0.007032,-1
0.19626,2.559343,0.502143,1.52904,-1.432263,-0.695696,0.191427,-0.815399,2.569446,-1.326924,1.445422,2.077306,-1.341318,-1.118373,0.450054,-0.713898,0.038482,-2.691069,-1.52292,-1.5754,-0.082895,-0.413712,0.336479,-0.630526,-0.922731,1
-4.195123,0.952281,0.451124,-0.048016,-2.399979,0.193974,-0.865413,-2.517681,2.33822,-0.618661,1.923739,0.531727,-1.537533,-2.027331,-0.276658,0.827886,0.024997,1.71725,0.145164,-1.284821,-1.061116,-0.145653,-1.798513,-0.123696,-0.105987,-1
0.953731,3.286624,1.797051,2.040964,1.101158,-0.616459,-2.326401,-0.336004,-0.067623,1.885973,0.927677,1.45814,0.557743,-1.801039,-2.457465,-0.845872,-0.518389,1.806634,-1.735169,-1.78583,0.098178,0.251061,0.899068,-1.518783,0.485655,1
0.490081,0.823736,1.152812,0.602883,5.554553,1.211031,2.752377,0.106991,4.273235,-2.287157,3.630339,-0.146278,1.946754,-0.544762,0.758982,1.565616,-0.363818,-0.800413,1.677897,1.855564,0.719031,0.454778,-1.407159,-2.370929,-1.236424,1
-3.790849,3.546217,-3.30361,-2.047335,2.552956,-0.000114,0.224279,-0.083035,-3.80175,-1.232701,1.362068,-2.729906,-2.90676,-1.360955,2.190636,-0.048832,1.344799,-0.194323,-0.538871,-0.898884,-0.161922,1.05936,-0.065525,-1.818573,-1.762915,-1
-7.168223,-0.402563,-4.615572,-0.703429,2.079526,0.120626,-1.222265,0.671559,-0.77316,-1.8131,-0.812106,3.125458,0.120278,3.27046,1.561332,1.081882,0.069156,-1.266348,1.139712,-0.222533,2.018594,-0.667781,1.573862,0.473963,1.970209,-1
5.702804,-8.435061,2.756451,-3.073434,-2.757425,-0.421949,-0.649708,1.139825,0.141281,2.643491,-1.864524,-1.921198,0.827096,-1.333366,-0.654269,0.623131,0.394678,1.878995,-1.880733,-0.523108,2.151685,2.05308,-1.64934,0.869993,1.039932,1
2.204829,-0.853735,-0.837131,0.558106,-1.639463,1.719182,1.858074,-2.417884,-0.636563,1.486281,1.453834,-0.064113,2.016679,-2.464734,0.105755,-0.803395,1.77969,0.848717,-1.255946,1.150602,-0.336367,1.628414,0.511141,1.876371,1.735709,1
7.320505,2.338207,-0.305707,-3.005909,1.319017,2.590259,-0.769551,1.141672,0.75932,-0.86787,0.73755,0.021628,-1.547219,-1.034575,-0.419335,0.624039,-0.912781,-0.333577,-1.238004,0.107006,0.187513,-1.73259,-0.883543,-1.971386,0.790735,-1
0.859468,1.927853,-1.49923,-0.12675,3.293578,1.644663,1.962757,0.384986,0.253416,1.136156,1.500861,0.605799,-1.521544,0.383222,-1.687525,-0.835113,-1.29966,1.389703,-0.680761,1.119956,0.030901,-0.42288,1.19086,-0.340841,-0.269064,-1
-1.599563,0.844418,0.075946,-1.600703,2.514121,-1.493113,0.718862,2.714489,0.235594,-1.49607,2.052634,1.145738,1.862021,-0.419546,-0.586776,-1.013731,-2.41072,0.474539,-0.687483,-0.483945,1.214177,0.081992,-0.638332,-0.494765,-1.436067,-1
7.799459,-0.644064,-0.659542,1.477769,0.996363,1.072126,2.380322,0.248991,0.424625,-2.319686,-2.0525,1.91415,-2.37671,1.957575,0.453403,-1.660549,-0.304,0.048506,-0.870675,0.886132,-0.690718,-0.841199,2.182268,0.81102,-0.253083,1
-2.702018,-3.944613,6.147241,-2.206401,5.971154,-1.43214,0.016128,-2.793207,0.495928,0.077641,1.368425,-2.874315,-2.518542,-1.091663,-1.671203,1.633805,-1.875516,-1.015757,0.079957,0.445907,1.706938,-1.40078,-1.908351,-0.350684,0.205862,1
0.399423,-1.683029,-1.854129,-0.128253,-3.201383,1.037635,0.295052,1.57459,-0.13253,-1.203025,-0.77428,-1.234728,0.17342,0.444094,-0.909682,0.271715,0.40608,-0.767172,0.075298,-0.300756,-0.274485,0.439826,-1.526184,-0.790819,-1.959283,1
-1.80694,0.78438,1.420433,-2.993,-1.999629,-2.097126,-0.170728,-0.420144,-0.167201,-0.231397,1.297377,-0.822591,-0.228821,1.889397,-1.659624,1.910629,0.152718,1.258128,0.357453,-0.160865,-0.474398,-0.168112,0.328626,-0.52518,0.307185,-1
1.545444,2.310668,1.021022,-4.30034,-0.52123,2.528291,-2.049267,2.676003,-0.474385,-0.39795,0.142972,0.819128,-3.009447,-1.466166,0.74039,-0.459157,-0.53233,-2.480578,0.043893,0.528995,-1.227935,-0.086303,-1.855841,-1.943947,-1.302932,-1
-8.97068,-0.875459,0.829538,1.964884,-2.790318,0.037544,1.635003,-1.683293,-0.948576,2.151463,0.343993,2.904562,-1.610851,-0.100536,0.654504,-0.518748,2.362505,2.822535,-0.654814,2.966578,-0.289761,0.295052,-0.145128,-1.044686,1.58613,-1
9.630051,-10.481026,-5.040278,0.673255,3.912484,0.182719,1.073527,1.277066,-0.314036,-0.160558,-4.151277,0.494802,-2.543945,1.607484,2.017233,0.714259,-0.627947,-0.027041,-0.81937,-0.194009,0.763731,-0.361163,-3.27584,-1.713878,-3.583374,1
-2.670741,3.212144,0.432982,2.453219,-0.751564,-0.670154,-2.705985,-1.937899,-0.099945,-2.636264,-1.35946,-0.239327,1.454354,-1.381242,-0.788707,-0.414154,-1.704392,-1.022221,-1.642443,-1.535443,-1.035972,0.641754,-0.404107,0.58702,-0.258552,1
3.876783,4.10425,-0.865944,1.435971,2.997966,-1.562359,0.062388,1.314773,1.227492,-3.081835,2.471867,0.119406,1.503701,-0.052141,-2.067635,-0.045933,1.891753,2.716483,1.161187,2.163336,-0.273783,-3.746015,-1.836282,2.493083,0.238862,-1
5.051614,4.874362,3.725353,-1.869086,6.517405,-1.082129,0.509125,0.933029,0.362478,-1.357648,-0.688646,2.354513,-1.588629,-1.056291,-0.821932,-0.904981,1.995545,-1.292273,1.168413,0.929573,3.297904,-4.174736,0.878536,0.858625,1.962117,-1
3.843719,2.095067,-1.279492,-0.039122,-1.242449,-0.004006,0.347625,-1.010647,-1.062392,-2.22275,-0.511196,1.855275,1.152612,-0.270032,0.744213,0.016694,-0.015261,-0.092604,1.561286,0.505559,-1.011535,1.210978,-0.404898,0.22966,0.097926,-1
-16.26025,-4.756858,2.81633,0.565946,3.079502,-2.698426,-0.771495,2.774141,-2.827344,1.020578,1.75381,-0.84719,-1.500458,1.196762,-2.454565,-0.466025,-1.060195,0.75292,-0.890248,-1.524774,-0.291018,-0.230308,-0.246951,-0.616861,0.495235,-1
-6.683662,0.563506,-0.126974,1.9107,0.984454,-3.430139,1.783282,-2.843639,2.967547,1.337673,1.903992,1.154884,-0.939456,-0.09066,1.547153,0.650062,-0.831731,-1.635901,-0.704813,-0.564913,1.455196,-1.113421,-0.091512,-0.100465,-0.818834,-1
-0.273631,1.514241,0.057663,-1.223958,-3.880378,0.43197,-1.698579,3.029499,2.483822,0.531001,-2.229563,1.038535,3.890806,-1.420789,-0.499379,0.169172,0.821783,1.203016,0.662455,2.382961,-0.346171,-1.353973,-1.449326,0.413317,-0.646875,1
-3.032186,2.414573,-1.842933,-1.809036,-1.918232,-1.020143,-1.42341,-2.567398,-0.291538,-0.088,0.177974,-1.247329,1.520055,0.61445,1.117702,-1.418668,0.558706,-0.485079,-2.565537,-1.487958,-0.224959,-0.439477,-1.569441,-1.007469,-0.768846,-1
