@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.124Feature84-0.122Feature85-0.121Feature162+0.121Feature149-0.121Feature52... numeric
@attribute -0.23Feature33-0.226Feature34-0.21Feature35+0.203Feature98+0.196Feature99... numeric
@attribute 0.186Feature103+0.157Feature96+0.149Feature94+0.148Feature95+0.147Feature25... numeric
@attribute '0.215Feature26+0.209Feature29+0.206Feature27+0.19 Feature28+0.189Feature102...' numeric
@attribute 0.216Feature50+0.215Feature14+0.214Feature92+0.212Feature128+0.207Feature76... numeric
@attribute Class {-1,1}

@data

0.475213,-0.507873,-0.708364,0.814483,2.827877,1
3.714316,-1.041341,-0.951899,-4.74477,-3.597749,-1
8.3542,3.615126,2.947377,2.740476,5.295244,1
-0.598584,-1.783228,-1.218603,-3.380235,0.215522,-1
2.00529,-0.682226,-0.360094,-3.146957,-2.166095,1
-2.575958,2.945229,0.762356,0.677099,-1.364277,-1
5.613479,1.530309,4.237352,3.07038,3.035805,1
2.774701,0.648416,2.741791,3.020402,-2.051026,1
5.610313,-1.872639,1.532392,0.561377,-5.639776,1
-5.225768,-0.903308,-0.47824,-3.184042,-2.043969,-1
10.169378,-0.95967,-1.23333,-1.367702,-1.0896,1
-5.513545,-1.378941,10.038218,-2.141744,5.200461,-1
0.19626,2.559343,0.502143,1.52904,-1.432263,1
-4.195123,0.952281,0.451124,-0.048016,-2.399979,-1
0.953731,3.286624,1.797051,2.040964,1.101158,1
0.490081,0.823736,1.152812,0.602883,5.554553,1
-3.790849,3.546217,-3.30361,-2.047335,2.552956,-1
-7.168223,-0.402563,-4.615572,-0.703429,2.079526,-1
5.702804,-8.435061,2.756451,-3.073434,-2.757425,1
2.204829,-0.853735,-0.837131,0.558106,-1.639463,1
7.320505,2.338207,-0.305707,-3.005909,1.319017,-1
0.859468,1.927853,-1.49923,-0.12675,3.293578,-1
-1.599563,0.844418,0.075946,-1.600703,2.514121,-1
7.799459,-0.644064,-0.659542,1.477769,0.996363,1
-2.702018,-3.944613,6.147241,-2.206401,5.971154,1
0.399423,-1.683029,-1.854129,-0.128253,-3.201383,1
-1.80694,0.78438,1.420433,-2.993,-1.999629,-1
1.545444,2.310668,1.021022,-4.30034,-0.52123,-1
-8.97068,-0.875459,0.829538,1.964884,-2.790318,-1
9.630051,-10.481026,-5.040278,0.673255,3.912484,1
-2.670741,3.212144,0.432982,2.453219,-0.751564,1
3.876783,4.10425,-0.865944,1.435971,2.997966,-1
5.051614,4.874362,3.725353,-1.869086,6.517405,-1
3.843719,2.095067,-1.279492,-0.039122,-1.242449,-1
-16.26025,-4.756858,2.81633,0.565946,3.079502,-1
-6.683662,0.563506,-0.126974,1.9107,0.984454,-1
-0.273631,1.514241,0.057663,-1.223958,-3.880378,1
-3.032186,2.414573,-1.842933,-1.809036,-1.918232,-1
9.445943,5.317868,-1.72034,-0.898781,-0.851904,1
-2.292195,4.568586,-1.237096,-1.376406,-1.141271,-1
3.831989,0.849214,2.48671,0.564165,-2.519531,-1
6.319633,3.092928,-0.880283,-2.219971,1.312084,1
13.560517,-5.546814,-2.024676,3.068691,-3.824721,1
0.055761,3.544151,0.786967,1.583768,-2.840178,1
4.162791,1.577087,-2.241753,1.566866,-1.676591,1
7.306947,1.746646,-0.737731,-2.052436,0.323304,-1
-5.378049,5.782558,-0.707648,0.328564,1.023156,-1
-3.586041,1.884582,-0.041411,2.681019,-1.087872,1
-0.352022,-4.889325,-0.095326,-1.672982,0.578831,-1
11.717895,-2.007467,-1.340551,-0.302811,1.003264,1
-5.560038,-0.374925,-4.038586,6.422924,1.189222,1
19.458655,-5.996882,-7.180696,0.617599,-2.437065,1
3.658135,1.915063,-0.753283,-1.274729,-2.527904,-1
-1.665274,0.734111,-0.647962,-0.782214,-3.430273,-1
-4.335491,2.108975,3.004148,4.341048,7.291549,1
2.410304,-6.39076,5.525951,0.241477,-1.345415,1
0.57998,2.299891,2.608517,-0.718673,-3.451767,-1
-3.36209,-0.276009,0.674912,-1.458001,-3.657681,-1
