@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A10-M10'

@attribute '-0.122Feature85-0.122Feature84-0.121Feature52-0.12Feature86-0.12Feature162-0.12Feature78-0.12Feature163+0.12 Feature150-0.119Feature57+0.119Feature149...' numeric
@attribute '-0.23Feature34-0.228Feature33-0.222Feature35-0.201Feature32+0.197Feature98+0.193Feature99-0.191Feature36-0.187Feature31+0.172Feature100+0.17 Feature97...' numeric
@attribute 0.199Feature95+0.184Feature96+0.175Feature94-0.17Feature30+0.166Feature103-0.154Feature31+0.151Feature18-0.148Feature29+0.143Feature93+0.137Feature15... numeric
@attribute -0.234Feature27-0.221Feature25+0.204Feature92-0.2Feature28-0.189Feature26-0.189Feature102-0.183Feature29-0.177Feature11-0.16Feature103+0.157Feature93... numeric
@attribute '0.237Feature50-0.236Feature115+0.229Feature154+0.216Feature76+0.216Feature128+0.208Feature24-0.198Feature141+0.176Feature14+0.174Feature105+0.17 Feature104...' numeric
@attribute -0.263Feature91-0.253Feature13-0.222Feature104-0.22Feature12-0.209Feature89-0.196Feature90-0.189Feature141+0.185Feature128+0.179Feature50+0.179Feature76... numeric
@attribute 0.317Feature110+0.314Feature19+0.242Feature109+0.225Feature108+0.222Feature111+0.192Feature97+0.188Feature20+0.181Feature17+0.176Feature18+0.142Feature30... numeric
@attribute 0.277Feature106+0.266Feature107+0.255Feature21+0.245Feature16+0.232Feature20+0.215Feature15+0.197Feature111+0.194Feature99-0.183Feature11-0.179Feature102... numeric
@attribute 0.213Feature108+0.207Feature17-0.187Feature20-0.176Feature98+0.173Feature106+0.167Feature15+0.161Feature23+0.157Feature114-0.156Feature91-0.147Feature19... numeric
@attribute 0.281Feature23-0.277Feature108-0.27Feature17+0.262Feature114-0.185Feature21-0.18Feature95+0.172Feature104-0.167Feature99-0.166Feature18+0.157Feature101... numeric
@attribute Class {-1,1}

@data

0.23847,2.48379,0.085951,-2.326202,-0.800826,0.164553,-0.076155,-1.518198,1.079495,2.735402,1
5.949108,0.797188,-3.85408,2.130702,-0.41576,1.117459,1.229808,0.476512,-0.608258,0.362144,1
-3.378921,-1.828355,-3.345239,0.842774,3.573299,-3.854877,-4.14626,-2.441359,-1.120533,3.475679,1
-0.762335,-0.991362,0.327218,3.689405,-1.385269,-0.900907,0.461436,0.545658,0.348143,-0.322496,1
7.463205,-6.050807,1.970003,0.309749,-3.791562,-1.288783,1.646086,-3.125557,1.465444,3.40652,-1
-17.796429,-7.100714,-8.467825,1.572927,2.888994,7.169588,1.142622,0.479967,-2.774296,-0.765043,-1
20.749446,-1.900072,5.563335,1.02118,2.056059,-4.032035,-0.072217,2.619634,1.382068,-0.909687,1
-4.002991,-2.089389,6.577748,-2.002234,1.364634,1.433473,-2.023954,0.470649,-1.376934,0.110524,1
-3.961355,-0.108778,-1.164533,0.078718,4.612284,-0.459155,1.37937,1.12617,0.982894,2.603959,1
5.598926,4.234813,0.095572,2.088521,-0.090653,-0.885026,-0.340013,1.272117,0.447467,0.366697,1
1.67885,3.286119,0.330497,-2.973145,-1.897072,-2.775878,1.058871,-0.735675,0.455055,1.253944,1
0.13118,-1.168928,-0.840257,1.26958,-2.806047,1.144254,2.615676,0.385305,1.935637,0.539903,1
3.824545,2.052418,-3.343949,-1.111859,1.44679,0.971117,0.310453,5.206008,5.307413,-0.321994,-1
-2.454178,3.06304,-0.171505,-2.501786,0.261122,0.153998,2.268002,2.892431,1.039393,1.79356,1
5.42193,0.562268,0.031445,2.027864,0.601773,-2.631454,-0.20826,-0.469914,0.880335,0.608253,1
19.146544,-11.410065,-0.376045,2.799372,1.819722,0.529822,-0.677614,2.470844,4.535628,0.806798,1
10.574274,2.892075,-0.323896,1.666675,-1.919671,-1.712118,0.166351,0.052655,-1.118887,-1.170477,1
4.523404,1.262481,2.765477,1.372749,-1.837517,-1.075258,0.922093,-0.937516,-1.36751,1.612821,1
9.426758,-9.883968,-5.343265,1.96943,3.856751,-0.711872,-1.310936,0.472075,-0.36653,-2.248573,1
-10.540856,2.09825,-0.461714,-1.437749,4.202197,-0.779442,0.546272,0.19185,-0.274675,-2.659439,-1
0.695787,-2.666285,3.171539,-3.454701,1.198501,-0.027242,-1.225389,-0.431118,-1.662328,-0.140505,1
3.815176,2.37496,-2.67243,-1.247566,-1.289399,-1.742176,0.508123,0.188346,-2.0708,0.485115,1
-3.992396,1.859948,1.821499,-1.054467,8.221134,-0.957276,-1.03142,-1.429848,1.67735,-2.823876,1
-5.185308,-1.718401,10.314736,2.232388,3.814754,-1.89646,1.475811,0.535488,2.863708,1.245107,-1
5.04835,1.026778,-1.691366,4.334426,4.286728,2.386108,2.911598,-0.461706,0.523046,-2.967883,-1
4.012171,2.068899,-2.817363,-1.831736,-0.7641,0.981464,-0.979268,-1.503769,1.908891,0.681683,1
-1.933999,1.66354,-4.959952,1.167179,0.241166,-1.486884,-1.516093,-2.298927,-0.361446,0.195171,-1
-11.293924,1.795642,4.053306,3.406082,3.092824,9.686687,3.719062,-2.204921,-2.287656,1.538604,-1
4.632,-2.348661,-0.8829,-3.114737,0.605532,0.421811,-2.707647,-2.148146,0.426808,-1.59123,1
1.065769,0.36562,-3.582761,-0.467077,-0.596796,1.230687,-1.830569,-3.287125,-3.615905,-2.093957,1
1.718256,5.021428,-2.085769,-1.131762,-0.608924,0.291928,-1.473856,1.319012,0.16734,0.274552,-1
1.975188,0.28449,-2.034146,1.95312,-3.262113,0.588371,2.49919,-2.205759,-1.209934,-0.28713,1
