@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A15-M15'

@attribute '-0.122Feature85-0.122Feature84-0.121Feature52-0.12Feature86-0.12Feature162-0.12Feature78-0.12Feature163+0.12 Feature150-0.119Feature57+0.119Feature149-0.118Feature59+0.118Feature151-0.118Feature58-0.118Feature83+0.118Feature148...' numeric
@attribute '-0.23Feature34-0.228Feature33-0.222Feature35-0.201Feature32+0.197Feature98+0.193Feature99-0.191Feature36-0.187Feature31+0.172Feature100+0.17 Feature97+0.169Feature101-0.145Feature113+0.143Feature96-0.141Feature30+0.128Feature126...' numeric
@attribute 0.199Feature95+0.184Feature96+0.175Feature94-0.17Feature30+0.166Feature103-0.154Feature31+0.151Feature18-0.148Feature29+0.143Feature93+0.137Feature15+0.134Feature12-0.131Feature127+0.129Feature140+0.128Feature16+0.125Feature62... numeric
@attribute -0.234Feature27-0.221Feature25+0.204Feature92-0.2Feature28-0.189Feature26-0.189Feature102-0.183Feature29-0.177Feature11-0.16Feature103+0.157Feature93+0.145Feature1-0.14Feature89+0.136Feature116+0.123Feature2+0.123Feature118... numeric
@attribute '0.237Feature50-0.236Feature115+0.229Feature154+0.216Feature76+0.216Feature128+0.208Feature24-0.198Feature141+0.176Feature14+0.174Feature105+0.17 Feature104+0.153Feature13+0.152Feature112+0.144Feature22+0.141Feature102+0.139Feature90...' numeric
@attribute -0.263Feature91-0.253Feature13-0.222Feature104-0.22Feature12-0.209Feature89-0.196Feature90-0.189Feature141+0.185Feature128+0.179Feature50+0.179Feature76-0.165Feature115+0.164Feature154-0.157Feature11+0.157Feature24-0.149Feature107... numeric
@attribute 0.317Feature110+0.314Feature19+0.242Feature109+0.225Feature108+0.222Feature111+0.192Feature97+0.188Feature20+0.181Feature17+0.176Feature18+0.142Feature30-0.128Feature93+0.126Feature107-0.119Feature100+0.118Feature74-0.117Feature21... numeric
@attribute '0.277Feature106+0.266Feature107+0.255Feature21+0.245Feature16+0.232Feature20+0.215Feature15+0.197Feature111+0.194Feature99-0.183Feature11-0.179Feature102+0.171Feature28+0.17 Feature112-0.167Feature89+0.155Feature94+0.152Feature22...' numeric
@attribute '0.213Feature108+0.207Feature17-0.187Feature20-0.176Feature98+0.173Feature106+0.167Feature15+0.161Feature23+0.157Feature114-0.156Feature91-0.147Feature19-0.147Feature13-0.144Feature97+0.14 Feature109+0.136Feature107+0.128Feature18...' numeric
@attribute '0.281Feature23-0.277Feature108-0.27Feature17+0.262Feature114-0.185Feature21-0.18Feature95+0.172Feature104-0.167Feature99-0.166Feature18+0.157Feature101+0.147Feature13+0.13 Feature4-0.123Feature96+0.122Feature106-0.121Feature136...' numeric
@attribute '-0.252Feature114-0.25Feature22-0.236Feature6-0.236Feature23+0.212Feature4+0.204Feature3-0.203Feature113-0.202Feature5+0.185Feature112-0.166Feature100+0.153Feature107+0.15 Feature1+0.149Feature16-0.147Feature9+0.136Feature2...' numeric
@attribute -0.324Feature18-0.302Feature109-0.238Feature96-0.191Feature22-0.18Feature113+0.171Feature108+0.163Feature105+0.161Feature17+0.152Feature14-0.149Feature110+0.148Feature8+0.148Feature48+0.144Feature69-0.136Feature19+0.133Feature12... numeric
@attribute -0.321Feature105-0.272Feature14+0.251Feature5+0.199Feature37+0.196Feature44+0.195Feature42+0.184Feature43-0.172Feature3+0.165Feature6+0.164Feature11-0.163Feature71-0.161Feature92+0.155Feature89-0.144Feature1-0.143Feature103... numeric
@attribute -0.198Feature15-0.191Feature46+0.191Feature25-0.187Feature93+0.186Feature107+0.184Feature101+0.173Feature7-0.172Feature151-0.167Feature69-0.165Feature35-0.165Feature45+0.164Feature86+0.163Feature138+0.162Feature16+0.161Feature60... numeric
@attribute 0.291Feature72-0.227Feature5+0.224Feature17+0.202Feature95+0.189Feature42+0.173Feature108+0.166Feature67-0.155Feature10-0.154Feature74+0.151Feature63-0.148Feature70-0.147Feature40+0.143Feature4+0.143Feature22-0.136Feature65... numeric
@attribute Class {-1,1}

@data

0.23847,2.48379,0.085951,-2.326202,-0.800826,0.164553,-0.076155,-1.518198,1.079495,2.735402,-1.034115,1.480519,-1.041712,0.618533,0.139332,1
5.949108,0.797188,-3.85408,2.130702,-0.41576,1.117459,1.229808,0.476512,-0.608258,0.362144,0.238204,-1.298768,-0.943083,-0.451094,1.666367,1
-3.378921,-1.828355,-3.345239,0.842774,3.573299,-3.854877,-4.14626,-2.441359,-1.120533,3.475679,-0.617124,1.289927,1.635634,1.358105,1.593039,1
-0.762335,-0.991362,0.327218,3.689405,-1.385269,-0.900907,0.461436,0.545658,0.348143,-0.322496,-0.286085,0.833074,-0.832677,-0.562538,0.746976,1
7.463205,-6.050807,1.970003,0.309749,-3.791562,-1.288783,1.646086,-3.125557,1.465444,3.40652,-0.231608,-0.767958,-1.240015,0.88454,0.659259,-1
-17.796429,-7.100714,-8.467825,1.572927,2.888994,7.169588,1.142622,0.479967,-2.774296,-0.765043,-1.594586,4.161433,4.508576,-2.452836,5.520872,-1
20.749446,-1.900072,5.563335,1.02118,2.056059,-4.032035,-0.072217,2.619634,1.382068,-0.909687,-0.32731,1.212297,-1.182221,-1.077503,0.303154,1
-4.002991,-2.089389,6.577748,-2.002234,1.364634,1.433473,-2.023954,0.470649,-1.376934,0.110524,0.69719,-0.721935,2.234035,0.910369,0.291481,1
-3.961355,-0.108778,-1.164533,0.078718,4.612284,-0.459155,1.37937,1.12617,0.982894,2.603959,1.27424,-4.311303,-2.433452,-0.918707,0.633868,1
5.598926,4.234813,0.095572,2.088521,-0.090653,-0.885026,-0.340013,1.272117,0.447467,0.366697,-1.062274,0.973321,-1.653526,-1.208528,-1.662393,1
1.67885,3.286119,0.330497,-2.973145,-1.897072,-2.775878,1.058871,-0.735675,0.455055,1.253944,1.372976,-0.830434,-1.948688,0.682689,-1.196566,1
0.13118,-1.168928,-0.840257,1.26958,-2.806047,1.144254,2.615676,0.385305,1.935637,0.539903,0.404211,-0.845229,-0.590619,0.08802,-0.261068,1
3.824545,2.052418,-3.343949,-1.111859,1.44679,0.971117,0.310453,5.206008,5.307413,-0.321994,5.38317,2.966995,1.323453,-0.871422,2.925232,-1
-2.454178,3.06304,-0.171505,-2.501786,0.261122,0.153998,2.268002,2.892431,1.039393,1.79356,-2.519477,-0.041047,0.056599,-0.120865,2.055446,1
5.42193,0.562268,0.031445,2.027864,0.601773,-2.631454,-0.20826,-0.469914,0.880335,0.608253,-2.050917,-1.844645,2.316574,-1.375027,-1.476433,1
19.146544,-11.410065,-0.376045,2.799372,1.819722,0.529822,-0.677614,2.470844,4.535628,0.806798,1.54138,-4.3057,-2.062425,-4.839188,-1.613971,1
10.574274,2.892075,-0.323896,1.666675,-1.919671,-1.712118,0.166351,0.052655,-1.118887,-1.170477,-0.373402,-0.52213,2.228704,-0.414403,2.162524,1
4.523404,1.262481,2.765477,1.372749,-1.837517,-1.075258,0.922093,-0.937516,-1.36751,1.612821,3.466809,-1.083604,-1.693474,0.460309,2.246273,1
9.426758,-9.883968,-5.343265,1.96943,3.856751,-0.711872,-1.310936,0.472075,-0.36653,-2.248573,-3.543111,0.749936,2.071889,2.156172,-3.225403,1
-10.540856,2.09825,-0.461714,-1.437749,4.202197,-0.779442,0.546272,0.19185,-0.274675,-2.659439,0.133797,2.001229,-2.386567,1.890208,-1.915735,-1
0.695787,-2.666285,3.171539,-3.454701,1.198501,-0.027242,-1.225389,-0.431118,-1.662328,-0.140505,0.350291,-1.239854,0.56325,0.439509,-0.347096,1
3.815176,2.37496,-2.67243,-1.247566,-1.289399,-1.742176,0.508123,0.188346,-2.0708,0.485115,0.546896,0.278204,-0.230515,-0.323563,-0.567439,1
-3.992396,1.859948,1.821499,-1.054467,8.221134,-0.957276,-1.03142,-1.429848,1.67735,-2.823876,-0.112165,-3.974612,5.966692,-0.140864,3.18153,1
-5.185308,-1.718401,10.314736,2.232388,3.814754,-1.89646,1.475811,0.535488,2.863708,1.245107,-3.340532,-1.012882,0.834544,1.102698,1.543018,-1
