@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A25-M25'

@attribute '-0.122Feature85-0.122Feature84-0.121Feature52-0.12Feature86-0.12Feature162-0.12Feature78-0.12Feature163+0.12 Feature150-0.119Feature57+0.119Feature149-0.118Feature59+0.118Feature151-0.118Feature58-0.118Feature83+0.118Feature148-0.118Feature56-0.118Feature164-0.117Feature156-0.117Feature79-0.117Feature157-0.116Feature53-0.116Feature130-0.116Feature54-0.116Feature87-0.115Feature137...' numeric
@attribute '-0.23Feature34-0.228Feature33-0.222Feature35-0.201Feature32+0.197Feature98+0.193Feature99-0.191Feature36-0.187Feature31+0.172Feature100+0.17 Feature97+0.169Feature101-0.145Feature113+0.143Feature96-0.141Feature30+0.128Feature126-0.12Feature112-0.118Feature139-0.116Feature61-0.114Feature27+0.109Feature127-0.108Feature29+0.105Feature94+0.103Feature93+0.101Feature125-0.099Feature140...' numeric
@attribute '0.199Feature95+0.184Feature96+0.175Feature94-0.17Feature30+0.166Feature103-0.154Feature31+0.151Feature18-0.148Feature29+0.143Feature93+0.137Feature15+0.134Feature12-0.131Feature127+0.129Feature140+0.128Feature16+0.125Feature62+0.12 Feature17-0.117Feature153-0.116Feature116-0.115Feature135-0.115Feature100+0.114Feature129-0.114Feature101+0.113Feature51-0.11Feature57-0.11Feature32...' numeric
@attribute -0.234Feature27-0.221Feature25+0.204Feature92-0.2Feature28-0.189Feature26-0.189Feature102-0.183Feature29-0.177Feature11-0.16Feature103+0.157Feature93+0.145Feature1-0.14Feature89+0.136Feature116+0.123Feature2+0.123Feature118-0.122Feature36+0.118Feature90+0.117Feature101-0.116Feature131-0.116Feature51+0.114Feature14-0.11Feature53+0.107Feature94-0.105Feature124+0.105Feature59... numeric
@attribute '0.237Feature50-0.236Feature115+0.229Feature154+0.216Feature76+0.216Feature128+0.208Feature24-0.198Feature141+0.176Feature14+0.174Feature105+0.17 Feature104+0.153Feature13+0.152Feature112+0.144Feature22+0.141Feature102+0.139Feature90+0.138Feature21-0.133Feature140-0.133Feature88-0.131Feature166-0.131Feature62+0.13 Feature92-0.122Feature97+0.121Feature153+0.115Feature32+0.115Feature127...' numeric
@attribute '-0.263Feature91-0.253Feature13-0.222Feature104-0.22Feature12-0.209Feature89-0.196Feature90-0.189Feature141+0.185Feature128+0.179Feature50+0.179Feature76-0.165Feature115+0.164Feature154-0.157Feature11+0.157Feature24-0.149Feature107-0.147Feature103-0.138Feature105+0.13 Feature20-0.126Feature112-0.125Feature16-0.125Feature14-0.119Feature142-0.115Feature21+0.11 Feature129-0.099Feature92...' numeric
@attribute 0.317Feature110+0.314Feature19+0.242Feature109+0.225Feature108+0.222Feature111+0.192Feature97+0.188Feature20+0.181Feature17+0.176Feature18+0.142Feature30-0.128Feature93+0.126Feature107-0.119Feature100+0.118Feature74-0.117Feature21-0.112Feature99-0.111Feature15-0.111Feature121+0.108Feature16-0.106Feature22+0.105Feature13-0.1Feature46+0.096Feature128+0.095Feature91+0.095Feature104... numeric
@attribute '0.277Feature106+0.266Feature107+0.255Feature21+0.245Feature16+0.232Feature20+0.215Feature15+0.197Feature111+0.194Feature99-0.183Feature11-0.179Feature102+0.171Feature28+0.17 Feature112-0.167Feature89+0.155Feature94+0.152Feature22+0.151Feature41+0.14 Feature98+0.123Feature100+0.114Feature93+0.105Feature113+0.103Feature110-0.101Feature7+0.095Feature32-0.083Feature34-0.082Feature154...' numeric
@attribute '0.213Feature108+0.207Feature17-0.187Feature20-0.176Feature98+0.173Feature106+0.167Feature15+0.161Feature23+0.157Feature114-0.156Feature91-0.147Feature19-0.147Feature13-0.144Feature97+0.14 Feature109+0.136Feature107+0.128Feature18+0.126Feature93+0.124Feature95+0.123Feature16-0.122Feature111-0.12Feature12+0.118Feature45-0.114Feature90-0.114Feature110+0.111Feature113+0.11 Feature105...' numeric
@attribute '0.281Feature23-0.277Feature108-0.27Feature17+0.262Feature114-0.185Feature21-0.18Feature95+0.172Feature104-0.167Feature99-0.166Feature18+0.157Feature101+0.147Feature13+0.13 Feature4-0.123Feature96+0.122Feature106-0.121Feature136-0.12Feature109+0.117Feature15-0.115Feature58-0.114Feature64+0.111Feature97-0.107Feature38+0.107Feature123-0.105Feature32+0.104Feature91-0.102Feature5...' numeric
@attribute '-0.252Feature114-0.25Feature22-0.236Feature6-0.236Feature23+0.212Feature4+0.204Feature3-0.203Feature113-0.202Feature5+0.185Feature112-0.166Feature100+0.153Feature107+0.15 Feature1+0.149Feature16-0.147Feature9+0.136Feature2+0.136Feature21-0.135Feature110-0.124Feature20-0.119Feature14-0.11Feature111-0.107Feature101-0.105Feature92-0.105Feature10+0.104Feature127-0.103Feature19...' numeric
@attribute -0.324Feature18-0.302Feature109-0.238Feature96-0.191Feature22-0.18Feature113+0.171Feature108+0.163Feature105+0.161Feature17+0.152Feature14-0.149Feature110+0.148Feature8+0.148Feature48+0.144Feature69-0.136Feature19+0.133Feature12+0.126Feature9+0.126Feature47+0.119Feature103+0.118Feature92+0.116Feature98-0.113Feature24-0.111Feature15+0.107Feature111+0.107Feature94+0.106Feature16... numeric
@attribute -0.321Feature105-0.272Feature14+0.251Feature5+0.199Feature37+0.196Feature44+0.195Feature42+0.184Feature43-0.172Feature3+0.165Feature6+0.164Feature11-0.163Feature71-0.161Feature92+0.155Feature89-0.144Feature1-0.143Feature103-0.143Feature27+0.136Feature102+0.118Feature75-0.115Feature2-0.11Feature20-0.11Feature12+0.106Feature94-0.104Feature74-0.102Feature46+0.101Feature48... numeric
@attribute '-0.198Feature15-0.191Feature46+0.191Feature25-0.187Feature93+0.186Feature107+0.184Feature101+0.173Feature7-0.172Feature151-0.167Feature69-0.165Feature35-0.165Feature45+0.164Feature86+0.163Feature138+0.162Feature16+0.161Feature60+0.16 Feature164-0.158Feature106-0.15Feature125-0.15Feature90-0.145Feature36-0.142Feature47+0.133Feature100-0.13Feature66+0.121Feature26+0.114Feature23...' numeric
@attribute 0.291Feature72-0.227Feature5+0.224Feature17+0.202Feature95+0.189Feature42+0.173Feature108+0.166Feature67-0.155Feature10-0.154Feature74+0.151Feature63-0.148Feature70-0.147Feature40+0.143Feature4+0.143Feature22-0.136Feature65-0.135Feature9+0.135Feature39+0.132Feature68+0.123Feature45+0.107Feature99-0.107Feature34-0.103Feature106+0.103Feature100-0.101Feature122+0.098Feature3... numeric
@attribute '-0.233Feature40-0.23Feature8-0.213Feature75+0.192Feature73-0.183Feature90+0.17 Feature47-0.157Feature45-0.154Feature94-0.154Feature65-0.145Feature16-0.142Feature131+0.142Feature108-0.139Feature12+0.134Feature17+0.133Feature91+0.131Feature6-0.13Feature7+0.13 Feature144-0.123Feature53+0.121Feature92-0.118Feature107+0.112Feature25-0.11Feature79-0.11Feature2+0.108Feature95...' numeric
@attribute '-0.24Feature73+0.227Feature48+0.183Feature49+0.175Feature110-0.168Feature90+0.165Feature113-0.165Feature12-0.162Feature44+0.158Feature75-0.15Feature20+0.147Feature156+0.147Feature19+0.145Feature40-0.142Feature117-0.141Feature9+0.141Feature26+0.136Feature22+0.136Feature4+0.134Feature104+0.131Feature78+0.12 Feature3-0.117Feature1-0.117Feature2+0.116Feature52-0.114Feature111...' numeric
@attribute -0.266Feature4-0.26Feature3+0.254Feature9-0.242Feature37+0.212Feature46-0.189Feature23+0.189Feature64+0.178Feature91-0.17Feature39-0.167Feature114+0.165Feature45+0.159Feature13-0.158Feature12+0.153Feature104+0.146Feature71-0.122Feature90-0.12Feature103-0.114Feature38-0.105Feature101+0.104Feature119-0.103Feature28-0.099Feature75+0.095Feature72+0.094Feature67-0.093Feature142... numeric
@attribute '-0.248Feature8-0.246Feature14-0.228Feature105-0.222Feature92-0.189Feature39-0.183Feature75+0.158Feature26+0.156Feature120-0.152Feature46+0.151Feature66-0.147Feature55+0.146Feature12-0.145Feature133-0.139Feature159+0.137Feature22+0.131Feature146+0.13 Feature73-0.13Feature81+0.129Feature103+0.121Feature43-0.12Feature29-0.118Feature107+0.117Feature90+0.112Feature104+0.11 Feature100...' numeric
@attribute '-0.247Feature5+0.244Feature64-0.239Feature44-0.198Feature63-0.191Feature37+0.157Feature7+0.157Feature69+0.151Feature106+0.141Feature17+0.139Feature23-0.137Feature73+0.137Feature15+0.137Feature158-0.132Feature66+0.13 Feature54+0.128Feature132+0.127Feature80+0.125Feature101-0.124Feature119+0.121Feature95+0.12 Feature108+0.119Feature143-0.114Feature156-0.112Feature6+0.11 Feature75...' numeric
@attribute '-0.249Feature21+0.246Feature106+0.234Feature67+0.197Feature37-0.19Feature114+0.188Feature64+0.184Feature28-0.181Feature112+0.164Feature5+0.155Feature15+0.154Feature111+0.153Feature7+0.15 Feature20-0.147Feature22+0.142Feature6-0.134Feature113-0.132Feature75-0.131Feature69+0.131Feature40-0.128Feature44+0.127Feature39-0.126Feature74-0.126Feature23+0.111Feature48-0.108Feature99...' numeric
@attribute '0.234Feature1+0.232Feature2+0.229Feature43-0.214Feature71-0.207Feature4+0.196Feature49+0.187Feature65+0.175Feature73+0.161Feature28-0.154Feature19+0.15 Feature74-0.147Feature90+0.141Feature40-0.134Feature97-0.128Feature110+0.124Feature44-0.123Feature12-0.121Feature67+0.115Feature104-0.114Feature30-0.113Feature155-0.108Feature93-0.103Feature46-0.103Feature119+0.098Feature158...' numeric
@attribute '-0.276Feature46+0.248Feature43-0.232Feature69+0.23 Feature44+0.214Feature10-0.212Feature47-0.199Feature26-0.187Feature1-0.184Feature45-0.177Feature2+0.169Feature49-0.15Feature74+0.148Feature63-0.138Feature73-0.125Feature142+0.12 Feature92+0.119Feature66-0.119Feature27-0.114Feature70+0.114Feature155+0.112Feature77-0.112Feature5+0.11 Feature75-0.106Feature41+0.106Feature111...' numeric
@attribute '0.289Feature42-0.287Feature40-0.197Feature70+0.19 Feature41-0.184Feature46-0.177Feature45-0.17Feature65+0.169Feature1-0.168Feature69+0.164Feature5+0.164Feature35+0.162Feature64+0.157Feature113+0.149Feature74-0.146Feature44-0.142Feature109+0.135Feature2+0.131Feature67-0.123Feature8+0.122Feature75-0.11Feature11-0.108Feature89+0.107Feature114+0.106Feature71-0.104Feature20...' numeric
@attribute '0.304Feature72-0.3Feature67-0.245Feature74+0.234Feature43-0.174Feature70-0.163Feature161+0.15 Feature107-0.148Feature68-0.147Feature83+0.146Feature46-0.144Feature20+0.132Feature16+0.129Feature122+0.128Feature148-0.122Feature66-0.119Feature98-0.118Feature57-0.117Feature40+0.114Feature134+0.112Feature63+0.11 Feature45-0.11Feature42-0.108Feature10+0.107Feature56-0.103Feature91...' numeric
@attribute Class {-1,1}

@data

0.23847,2.48379,0.085951,-2.326202,-0.800826,0.164553,-0.076155,-1.518198,1.079495,2.735402,-1.034115,1.480519,-1.041712,0.618533,0.139332,-1.250329,-2.130065,-0.87387,2.028297,-0.76723,1.088122,-0.453963,-0.521873,0.228229,-1.046116,1
5.949108,0.797188,-3.85408,2.130702,-0.41576,1.117459,1.229808,0.476512,-0.608258,0.362144,0.238204,-1.298768,-0.943083,-0.451094,1.666367,-0.42842,2.421909,-2.076706,1.465742,0.382095,0.738693,-0.00114,-1.026714,-1.009686,-1.015969,1
-3.378921,-1.828355,-3.345239,0.842774,3.573299,-3.854877,-4.14626,-2.441359,-1.120533,3.475679,-0.617124,1.289927,1.635634,1.358105,1.593039,1.442638,0.106406,0.655067,0.227313,-0.40726,0.132781,0.853058,0.5768,0.948756,-0.193607,1
-0.762335,-0.991362,0.327218,3.689405,-1.385269,-0.900907,0.461436,0.545658,0.348143,-0.322496,-0.286085,0.833074,-0.832677,-0.562538,0.746976,0.339288,-0.304994,-1.097661,0.289239,0.809157,0.628863,-0.062725,-0.859125,-0.412058,-0.217385,1
7.463205,-6.050807,1.970003,0.309749,-3.791562,-1.288783,1.646086,-3.125557,1.465444,3.40652,-0.231608,-0.767958,-1.240015,0.88454,0.659259,0.14538,0.665317,-0.12757,-0.163693,0.813566,-0.324579,-0.081607,1.246003,1.076423,1.576855,-1
-17.796429,-7.100714,-8.467825,1.572927,2.888994,7.169588,1.142622,0.479967,-2.774296,-0.765043,-1.594586,4.161433,4.508576,-2.452836,5.520872,-2.068269,-0.18915,-3.532499,-0.319398,-0.258518,0.951176,0.079672,3.599117,-0.673753,0.139379,-1
20.749446,-1.900072,5.563335,1.02118,2.056059,-4.032035,-0.072217,2.619634,1.382068,-0.909687,-0.32731,1.212297,-1.182221,-1.077503,0.303154,0.684527,-0.242624,-0.340998,0.708181,0.055808,0.504996,-0.325731,-0.018534,-0.672204,-0.382636,1
-4.002991,-2.089389,6.577748,-2.002234,1.364634,1.433473,-2.023954,0.470649,-1.376934,0.110524,0.69719,-0.721935,2.234035,0.910369,0.291481,-0.995185,-0.267493,0.567935,-1.295377,1.513851,0.381258,0.85676,-0.160363,0.14974,-0.135879,1
-3.961355,-0.108778,-1.164533,0.078718,4.612284,-0.459155,1.37937,1.12617,0.982894,2.603959,1.27424,-4.311303,-2.433452,-0.918707,0.633868,-0.989373,1.485761,0.173158,-1.442372,1.39076,1.555572,0.29005,1.569291,-0.942718,0.651612,1
5.598926,4.234813,0.095572,2.088521,-0.090653,-0.885026,-0.340013,1.272117,0.447467,0.366697,-1.062274,0.973321,-1.653526,-1.208528,-1.662393,-1.082678,-0.310566,0.605878,-0.642115,1.51202,-0.777855,0.342224,0.965089,-1.028167,0.160226,1
1.67885,3.286119,0.330497,-2.973145,-1.897072,-2.775878,1.058871,-0.735675,0.455055,1.253944,1.372976,-0.830434,-1.948688,0.682689,-1.196566,-1.177511,-1.95348,0.144609,0.264295,-0.727943,-0.934827,0.944508,-1.738476,-0.259376,-0.314897,1
0.13118,-1.168928,-0.840257,1.26958,-2.806047,1.144254,2.615676,0.385305,1.935637,0.539903,0.404211,-0.845229,-0.590619,0.08802,-0.261068,2.776142,-0.472452,-0.894575,-0.334423,0.53824,-0.845688,-0.373626,-0.119046,-1.789546,0.806969,1
3.824545,2.052418,-3.343949,-1.111859,1.44679,0.971117,0.310453,5.206008,5.307413,-0.321994,5.38317,2.966995,1.323453,-0.871422,2.925232,-2.858778,1.868242,-1.058172,3.129432,0.899458,-3.925277,-2.169676,-1.701279,0.143218,0.392222,-1
-2.454178,3.06304,-0.171505,-2.501786,0.261122,0.153998,2.268002,2.892431,1.039393,1.79356,-2.519477,-0.041047,0.056599,-0.120865,2.055446,-0.82437,-0.72309,-0.690118,-0.057735,-0.714684,0.908002,0.555943,-0.684395,-1.889724,0.805373,1
5.42193,0.562268,0.031445,2.027864,0.601773,-2.631454,-0.20826,-0.469914,0.880335,0.608253,-2.050917,-1.844645,2.316574,-1.375027,-1.476433,-0.295684,1.0408,0.344625,-1.791078,-1.062845,-0.411143,-2.064612,-0.874156,-1.368648,-1.363233,1
19.146544,-11.410065,-0.376045,2.799372,1.819722,0.529822,-0.677614,2.470844,4.535628,0.806798,1.54138,-4.3057,-2.062425,-4.839188,-1.613971,1.992436,0.459445,2.882938,-0.320484,0.569364,1.084187,0.203953,1.165843,-0.211737,-0.143951,1
10.574274,2.892075,-0.323896,1.666675,-1.919671,-1.712118,0.166351,0.052655,-1.118887,-1.170477,-0.373402,-0.52213,2.228704,-0.414403,2.162524,1.008853,0.428673,-0.759591,1.844967,1.367821,-1.23907,1.451752,-0.83052,0.006358,1.160228,1
4.523404,1.262481,2.765477,1.372749,-1.837517,-1.075258,0.922093,-0.937516,-1.36751,1.612821,3.466809,-1.083604,-1.693474,0.460309,2.246273,-0.758254,-1.058188,0.590973,1.252321,-2.23416,1.241077,-0.120069,-0.989495,1.009184,-1.506994,1
9.426758,-9.883968,-5.343265,1.96943,3.856751,-0.711872,-1.310936,0.472075,-0.36653,-2.248573,-3.543111,0.749936,2.071889,2.156172,-3.225403,-0.834713,-0.801369,-1.879399,0.776383,-2.882654,0.936038,-1.059452,-0.789477,1.73584,2.340159,1
-10.540856,2.09825,-0.461714,-1.437749,4.202197,-0.779442,0.546272,0.19185,-0.274675,-2.659439,0.133797,2.001229,-2.386567,1.890208,-1.915735,1.560745,-2.008991,1.082258,0.722069,2.154732,2.636141,-2.254513,-2.517225,-1.185902,-3.75058,-1
0.695787,-2.666285,3.171539,-3.454701,1.198501,-0.027242,-1.225389,-0.431118,-1.662328,-0.140505,0.350291,-1.239854,0.56325,0.439509,-0.347096,0.531035,1.121375,0.322119,-1.781776,0.6412,-0.05574,0.044695,0.996339,1.060273,0.757122,1
3.815176,2.37496,-2.67243,-1.247566,-1.289399,-1.742176,0.508123,0.188346,-2.0708,0.485115,0.546896,0.278204,-0.230515,-0.323563,-0.567439,-2.340674,0.122821,0.800023,-0.78649,-1.08066,-0.025392,-0.695529,2.070591,0.891108,-0.691438,1
-3.992396,1.859948,1.821499,-1.054467,8.221134,-0.957276,-1.03142,-1.429848,1.67735,-2.823876,-0.112165,-3.974612,5.966692,-0.140864,3.18153,-2.091977,-3.383075,-2.191553,-2.065613,-1.241252,-0.776003,1.682542,1.938663,-0.776489,-0.169173,1
-5.185308,-1.718401,10.314736,2.232388,3.814754,-1.89646,1.475811,0.535488,2.863708,1.245107,-3.340532,-1.012882,0.834544,1.102698,1.543018,0.516298,2.9524,-0.604866,-0.140267,-0.167321,1.165085,-0.218505,-0.159264,0.152806,0.675899,-1
5.04835,1.026778,-1.691366,4.334426,4.286728,2.386108,2.911598,-0.461706,0.523046,-2.967883,-0.373879,3.521075,-2.523137,1.664133,0.975941,1.297643,1.897921,3.206268,0.43013,-1.445717,-0.206289,0.825164,-0.979275,1.106664,-1.456559,-1
4.012171,2.068899,-2.817363,-1.831736,-0.7641,0.981464,-0.979268,-1.503769,1.908891,0.681683,-4.121175,-0.481276,4.519652,-0.729585,-2.241511,0.160843,0.580704,-1.018235,0.526827,-3.242081,-1.08893,-0.158747,-3.313841,2.162304,0.613034,1
-1.933999,1.66354,-4.959952,1.167179,0.241166,-1.486884,-1.516093,-2.298927,-0.361446,0.195171,1.267742,-2.71738,-0.279992,0.599635,-1.499994,-1.094054,0.939778,0.408896,1.891799,-0.496092,-1.029619,0.445618,-0.285386,-0.144217,-0.964114,-1
-11.293924,1.795642,4.053306,3.406082,3.092824,9.686687,3.719062,-2.204921,-2.287656,1.538604,4.366323,-0.348528,1.267518,-2.373388,0.045696,0.748089,1.834737,1.119143,-1.073378,-0.00479,-0.64922,0.378971,-0.012895,1.783895,-0.67503,-1
4.632,-2.348661,-0.8829,-3.114737,0.605532,0.421811,-2.707647,-2.148146,0.426808,-1.59123,-0.680957,0.851081,-1.995819,1.83683,-1.002017,-1.776364,2.615885,0.871486,1.808281,-0.587204,-0.289803,-0.890553,-2.45656,0.089922,-0.819058,1
1.065769,0.36562,-3.582761,-0.467077,-0.596796,1.230687,-1.830569,-3.287125,-3.615905,-2.093957,-0.280315,-3.886558,-0.435094,1.515203,2.448751,1.889374,0.41235,1.29934,-1.926929,0.268625,0.701265,0.178251,-0.389559,-0.094371,0.474356,1
1.718256,5.021428,-2.085769,-1.131762,-0.608924,0.291928,-1.473856,1.319012,0.16734,0.274552,-0.732939,-1.470852,-0.25452,0.211516,-2.992537,-0.01705,-0.115951,0.46508,-1.771471,-0.737553,0.047738,0.508128,0.453815,1.335321,0.766015,-1
1.975188,0.28449,-2.034146,1.95312,-3.262113,0.588371,2.49919,-2.205759,-1.209934,-0.28713,-1.643481,0.387523,1.301923,-0.058392,1.327492,0.974339,-2.147976,-0.177357,-1.780422,1.419823,0.817584,-1.550073,-0.059919,-1.18115,0.302938,1
2.023815,3.936694,-1.208856,-1.917149,1.782002,-4.826156,0.140155,1.097241,-1.129275,1.027342,2.483158,0.097394,0.556421,0.98127,1.257854,0.595161,1.186412,-1.306808,0.922178,-0.341208,0.062375,0.000727,-1.301888,0.403819,-0.513274,1
3.764982,-2.807474,0.443982,-1.614357,-1.594712,0.506797,-0.284448,0.930975,1.178616,0.287945,-2.018719,0.183955,-1.489639,1.569062,1.657918,1.464299,0.491633,-1.354207,0.111986,-0.563632,-1.098977,-1.530739,0.251822,0.337489,0.168708,1
1.547059,-0.011077,-3.009417,-0.330904,1.350745,-3.052547,0.523562,0.915698,0.73701,-1.334904,0.327845,-0.87732,0.24884,-0.563658,0.727118,1.148245,-0.0454,-1.636289,0.21545,-0.233748,-0.148739,-1.242099,0.422481,-2.495997,-0.177125,1
-10.658788,-1.34793,-4.840773,3.843359,2.309826,0.913906,1.850574,1.131086,-2.536722,-1.757021,-2.246831,-0.485162,-0.248764,-1.024445,-1.507893,0.232028,-1.164366,0.539716,1.515152,0.519945,0.082929,0.448829,-0.850129,-0.11052,3.676535,-1
17.455491,-0.735576,4.778304,2.400486,3.539134,-1.111917,0.252642,2.642064,2.415119,2.120096,2.511126,-0.32562,1.874137,-0.404874,-0.544249,-0.308688,0.308464,0.911342,-0.290089,2.119966,0.870088,-0.75534,-1.475323,-2.566639,1.292348,1
-0.272298,-4.937626,-0.193614,1.172111,0.079384,0.280366,-2.699613,-2.550504,-2.848983,2.635985,-1.042698,0.086456,-1.622916,1.57329,-0.931033,1.570202,1.41615,-0.767665,-0.518391,0.22271,-1.887312,-0.264633,0.221669,-1.041958,1.63744,-1
