@relation 'Music_Emotion_Recognition_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M5'

@attribute -0.122Feature85-0.122Feature84-0.121Feature52-0.12Feature86-0.12Feature162... numeric
@attribute -0.23Feature34-0.228Feature33-0.222Feature35-0.201Feature32+0.197Feature98... numeric
@attribute 0.199Feature95+0.184Feature96+0.175Feature94-0.17Feature30+0.166Feature103... numeric
@attribute -0.234Feature27-0.221Feature25+0.204Feature92-0.2Feature28-0.189Feature26... numeric
@attribute 0.237Feature50-0.236Feature115+0.229Feature154+0.216Feature76+0.216Feature128... numeric
@attribute Class {-1,1}

@data

0.23847,2.48379,0.085951,-2.326202,-0.800826,1
5.949108,0.797188,-3.85408,2.130702,-0.41576,1
-3.378921,-1.828355,-3.345239,0.842774,3.573299,1
-0.762335,-0.991362,0.327218,3.689405,-1.385269,1
7.463205,-6.050807,1.970003,0.309749,-3.791562,-1
-17.796429,-7.100714,-8.467825,1.572927,2.888994,-1
20.749446,-1.900072,5.563335,1.02118,2.056059,1
-4.002991,-2.089389,6.577748,-2.002234,1.364634,1
-3.961355,-0.108778,-1.164533,0.078718,4.612284,1
5.598926,4.234813,0.095572,2.088521,-0.090653,1
1.67885,3.286119,0.330497,-2.973145,-1.897072,1
0.13118,-1.168928,-0.840257,1.26958,-2.806047,1
3.824545,2.052418,-3.343949,-1.111859,1.44679,-1
-2.454178,3.06304,-0.171505,-2.501786,0.261122,1
5.42193,0.562268,0.031445,2.027864,0.601773,1
19.146544,-11.410065,-0.376045,2.799372,1.819722,1
10.574274,2.892075,-0.323896,1.666675,-1.919671,1
4.523404,1.262481,2.765477,1.372749,-1.837517,1
9.426758,-9.883968,-5.343265,1.96943,3.856751,1
-10.540856,2.09825,-0.461714,-1.437749,4.202197,-1
0.695787,-2.666285,3.171539,-3.454701,1.198501,1
3.815176,2.37496,-2.67243,-1.247566,-1.289399,1
-3.992396,1.859948,1.821499,-1.054467,8.221134,1
-5.185308,-1.718401,10.314736,2.232388,3.814754,-1
5.04835,1.026778,-1.691366,4.334426,4.286728,-1
4.012171,2.068899,-2.817363,-1.831736,-0.7641,1
-1.933999,1.66354,-4.959952,1.167179,0.241166,-1
-11.293924,1.795642,4.053306,3.406082,3.092824,-1
4.632,-2.348661,-0.8829,-3.114737,0.605532,1
1.065769,0.36562,-3.582761,-0.467077,-0.596796,1
1.718256,5.021428,-2.085769,-1.131762,-0.608924,-1
1.975188,0.28449,-2.034146,1.95312,-3.262113,1
2.023815,3.936694,-1.208856,-1.917149,1.782002,1
3.764982,-2.807474,0.443982,-1.614357,-1.594712,1
1.547059,-0.011077,-3.009417,-0.330904,1.350745,1
-10.658788,-1.34793,-4.840773,3.843359,2.309826,-1
17.455491,-0.735576,4.778304,2.400486,3.539134,1
-0.272298,-4.937626,-0.193614,1.172111,0.079384,-1
8.31453,-2.971364,3.002353,1.364145,-3.326141,1
-4.987892,-1.029183,-0.027396,1.624696,-3.210668,-1
3.18496,-3.041164,2.233866,-4.049716,-2.354503,1
1.826922,-2.355787,-2.988868,-1.61953,-1.381882,1
-14.659238,-5.16606,-8.103732,1.218998,5.454939,-1
-3.385905,3.134019,0.240821,0.324552,1.102279,-1
-1.272927,0.831872,2.435277,-3.710294,-2.316008,1
1.923444,-3.1686,-4.676109,-0.334721,1.541272,-1
12.265933,-2.609439,-4.040624,-1.167982,-1.036787,1
-1.838059,1.487403,1.665376,-0.991511,-2.825968,-1
9.759361,-0.430106,-1.52711,0.645455,-1.435532,1
3.968639,1.479503,2.852952,-0.775511,3.076504,1
0.025509,4.409019,0.724136,2.412009,-1.474665,-1
2.758273,0.963825,1.687416,-4.16055,-0.385385,1
-14.667921,-13.3976,5.226209,4.66127,-2.6323,1
-8.924785,3.269387,-0.442525,-6.195405,3.67503,1
-15.51268,-5.210297,2.185338,-0.019358,3.322685,-1
-8.999277,1.477078,-5.762767,-2.162242,-1.457415,-1
-5.555935,3.52554,-1.150905,-3.702421,-0.86586,-1
-8.685815,2.433532,-0.102,2.237963,3.674273,-1
-15.339832,1.688594,1.59117,-4.380355,-0.439216,-1
-2.093197,4.372155,-0.846145,0.877333,-1.552285,-1
-4.43293,3.332692,-2.472026,-2.039775,-0.384473,-1
-4.496556,-0.984267,-0.007542,-1.103416,-2.60777,-1
25.631635,-1.39303,1.2843,4.328838,-0.523262,1
-1.579683,1.685417,3.703612,4.305718,-3.171587,-1
0.505965,-0.072534,-3.005951,0.985303,-3.640666,1
-8.285343,1.023731,-2.728397,1.43281,1.82117,-1
-2.969479,-0.64528,-4.506003,1.470511,0.04689,-1
-1.495112,0.594963,0.235756,2.495516,1.153495,-1
1.780339,2.415689,0.865229,3.811525,-2.067805,-1
2.032942,-1.152776,-0.624683,0.706794,-3.642236,1
0.476833,1.009972,-2.25925,1.930447,-3.472735,1
2.08738,2.928624,-2.115028,0.92735,-2.691459,-1
-4.261197,0.539621,1.953656,5.189833,2.475955,-1
-3.952456,0.826908,0.344909,-1.336016,-2.276774,-1
-5.439793,2.913315,-0.753479,-3.946567,-3.496139,1
7.091697,2.390326,0.646271,3.228764,-0.435179,-1
-4.660098,3.654669,-3.323974,2.247523,1.74893,-1
6.329716,-4.448518,0.861879,0.564537,-1.761271,1
-9.891427,-1.441501,3.798995,6.147138,3.352865,-1
-8.91097,-1.963179,3.251737,0.200085,-5.03987,-1
-2.993144,1.801529,-1.999223,-0.895091,2.074305,1
12.298421,-1.222575,0.994846,1.019015,0.242087,1
-10.928346,-0.350622,1.616909,-0.636211,-3.934135,-1
10.345352,-1.71995,-0.486459,-5.338816,0.61492,1
-0.869669,-2.508134,0.452201,1.094692,2.793847,1
-8.977936,-1.766759,1.063637,0.282698,-3.752389,-1
-7.723087,0.965829,3.650245,-3.411605,2.125423,-1
4.456523,0.130301,-1.692178,-1.851508,-1.359561,1
-12.257481,-2.526986,2.505231,-7.4772,0.499178,1
-6.277757,0.575668,-0.357177,-1.164351,1.116234,-1
5.460079,-2.945175,2.70829,-1.991631,-2.306765,1
6.25503,-1.217713,1.475271,-0.864009,-3.002821,1
-4.379629,-1.246872,-1.895597,-2.401363,0.186953,1
0.109985,1.681955,1.481364,0.121767,-0.901198,-1
-1.231142,0.132933,3.317648,-1.345099,-3.033783,-1
5.545926,1.530948,3.351811,-2.116872,4.215841,1
13.190243,-5.099908,-3.226699,-4.022658,-2.056888,1
3.141458,2.007573,-2.26789,0.733274,-1.756555,1
0.390603,3.563503,-0.879394,-0.706313,1.252116,-1
-11.197622,-5.103275,-3.18515,3.386292,-0.603683,-1
3.475499,0.458221,0.543812,-3.164776,-1.581802,1
9.606335,4.6751,4.974522,-3.639456,2.823433,1
-2.412018,-1.656634,2.799616,-5.815973,1.396193,1
8.376568,2.153284,0.207956,0.368971,0.908816,1
0.423438,3.841344,0.122418,-4.495863,-1.221171,1
-5.830103,3.479673,-0.950505,0.191581,1.252957,-1
-9.610558,3.599273,-0.229269,3.158814,1.069215,-1
3.700833,2.254083,-1.240522,-0.10066,-1.095275,-1
13.807681,-4.387691,1.641277,0.998495,-1.52816,1
5.968635,-3.857238,3.952288,-4.374258,0.547567,1
-4.37677,2.319032,0.871751,2.932774,-2.304205,-1
-2.093347,-4.376038,0.806018,0.22686,1.519172,-1
0.139444,4.40604,2.575616,3.584279,2.467172,-1
-4.791599,0.626608,-0.492525,-0.645931,-0.3155,1
-7.017078,-1.009374,3.70776,1.495528,-3.192296,-1
5.763322,8.676309,4.505356,4.776256,2.577877,-1
2.361717,2.541908,-0.398822,4.486766,1.299476,1
-4.594816,4.320602,-4.154767,-0.291512,1.032227,-1
-2.214338,-6.429831,-1.575003,2.548476,5.474671,-1
-14.027423,-2.094504,-0.130259,1.368567,0.92731,-1
-20.118002,-7.443561,-0.537366,1.475856,3.213607,-1
-11.190446,-1.316006,3.594367,-2.119128,-2.342772,1
0.064865,4.07849,-0.459748,3.879892,-2.208725,-1
0.50112,1.221714,-2.184028,-0.213225,-0.333558,1
-0.904433,5.368305,-1.439851,2.402522,-0.208261,-1
-6.231565,1.849685,8.493637,-0.28346,5.119052,-1
-0.324582,-0.303591,0.144004,1.723575,-2.880229,-1
-8.212159,-1.377619,0.544834,-6.299697,-0.531111,1
3.050407,5.272294,-0.398658,0.68185,0.279383,-1
1.996888,-0.907307,0.467388,1.661321,-3.545679,1
-1.782493,0.744588,1.724659,1.417248,-3.019707,-1
0.50648,3.891563,-0.468031,2.385005,-0.647547,-1
-1.46112,0.735668,-0.486483,-1.0207,-3.499886,-1
-4.30673,0.359877,-1.633147,2.590011,1.515399,-1
-8.845998,-6.893286,-3.44553,4.810975,0.759215,-1
3.640987,-2.918553,-2.236857,-2.641104,-3.21366,1
0.070867,0.925919,-1.625206,1.048166,-1.433519,-1
7.317431,-0.311127,3.348694,-1.126163,1.538949,1
0.507559,-1.591525,-2.150657,-1.231704,-2.708751,1
-9.604824,0.07408,-2.23767,4.014822,0.897342,-1
-3.338587,4.954849,-0.804445,-4.81242,-1.482457,1
13.364081,3.658351,1.690832,0.236129,1.380414,1
-4.049378,1.261892,-0.355501,-5.457389,-0.327304,1
9.070244,-4.920182,-0.696471,-2.478459,6.045281,1
-8.743261,-3.885375,-1.562377,1.424998,-2.336718,-1
7.436251,4.923738,-0.709447,2.598218,-1.059154,1
5.612535,-8.45428,2.6711,0.317813,-3.642885,1
5.288627,-9.055746,-5.001344,-2.967011,4.131867,1
-0.268355,1.73689,-0.122368,3.042117,2.327866,-1
5.391309,-1.83347,0.738031,-3.464482,-4.479748,1
0.956001,-1.364823,-3.845996,-1.081502,4.086747,1
1.05504,1.391267,-2.958634,-1.709245,-1.577258,1
-2.567507,0.303163,4.989019,-2.179003,1.488806,1
3.15008,2.242695,-3.548243,2.177867,-1.915868,1
4.322462,0.984207,-1.609843,-1.982888,0.234587,1
-2.373139,-3.978153,-2.621466,0.500175,1.85062,1
22.431661,-5.146004,-4.040173,-2.51611,3.536063,1
5.317499,5.29179,0.547187,2.354218,1.95306,-1
3.746453,4.136662,-1.025995,0.555687,3.135517,-1
-0.310344,4.097905,-0.292472,-0.270577,1.911546,-1
-6.935199,-0.669877,-4.109889,2.408588,1.275592,-1
4.906612,1.513297,-1.908479,-0.052291,1.830511,1
-1.652381,4.671985,2.021064,-1.190431,2.993744,-1
2.395094,-6.376364,4.714531,-2.27301,-0.522187,1
5.1002,-2.321436,-2.965784,1.280076,-4.498469,1
-8.519767,-1.001945,0.063,-2.682719,-1.253706,-1
2.108469,-6.050735,2.219489,0.854696,-0.78712,1
10.133434,-2.217262,0.132689,-3.669015,2.187047,1
-1.073309,1.706898,-0.13232,4.639816,1.526279,-1
-3.911451,0.528688,1.290098,-0.9508,0.370661,-1
-9.145012,-3.886737,4.832221,-0.117177,-2.857069,-1
-4.520194,-2.012344,-1.192377,3.733784,-2.002183,-1
-9.936177,3.405069,1.537477,-3.741178,1.274099,-1
-4.576662,-0.912483,4.526254,1.763166,-5.076362,-1
4.825688,4.850661,4.389503,3.814985,4.599699,-1
16.342574,-1.507302,1.701964,0.473821,4.563743,1
2.592987,1.037978,-2.694074,2.430147,-1.876725,-1
5.643719,1.56812,6.762845,-8.306495,4.027896,1
-9.604625,1.542164,0.957894,-5.274637,2.092469,-1
-5.26514,-1.218667,-1.140636,1.416994,2.334345,-1
-8.082894,2.193642,3.22739,3.346377,3.633865,-1
-0.860265,2.820226,-2.959372,0.135857,-0.838763,1
0.58453,1.641091,1.593058,0.279629,-2.641799,-1
-2.334277,4.10585,-0.480864,-4.826516,1.30112,1
1.925976,0.166397,4.633576,-4.04274,-0.0911,1
-0.210234,1.313244,0.211232,-0.762147,-4.258462,1
-7.490369,-2.542309,1.093637,-1.346814,-0.755167,1
1.511438,2.170929,1.901326,3.133735,-2.53611,-1
-4.478381,-0.926127,0.518192,2.399944,-3.489296,-1
0.884241,1.992609,-1.080795,2.096398,2.704203,-1
18.755295,-5.247269,-7.981358,-0.384388,-2.138991,1
-3.61341,-8.619514,5.04258,-0.718368,-3.271921,1
4.508804,2.856299,-0.483597,-0.20433,0.686917,1
9.708299,2.36651,0.210171,4.22764,-1.778381,-1
-5.143684,-0.642829,-5.656314,-4.515871,3.512149,1
-4.419939,3.512515,-0.382307,-0.12651,-2.355574,1
-12.215639,1.20219,2.633114,-1.444698,0.395533,-1
6.72118,0.641558,-0.883884,0.227739,-0.110411,1
-6.977292,-4.28089,4.041609,1.35642,4.052548,-1
-5.791536,3.809028,-3.43715,-4.207585,-1.046587,1
3.437255,-1.157113,1.954923,-3.084547,-0.700087,1
11.797934,-0.735933,1.227762,-2.127569,-0.216503,1
-1.437771,1.46308,-2.651235,-2.091408,0.334536,1
6.987016,1.873425,-0.192027,2.665288,-0.963568,-1
-8.299181,2.4699,-1.175976,-2.832347,0.409169,-1
8.726752,-1.341002,-0.939769,-0.350919,2.592962,1
5.024652,1.114092,-0.245187,2.504462,0.077124,-1
