@relation 'Music_Emotion_Recognition-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.WrapperSubsetEval -B weka.classifiers.functions.SMO -F 5 -T 0.01 -R 1 -E DEFAULT -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Feature28 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature97 numeric
@attribute Feature102 numeric
@attribute Feature112 numeric
@attribute Feature114 numeric
@attribute Feature115 numeric
@attribute Feature152 numeric
@attribute Feature166 numeric
@attribute Class {-1,1}

@data
0.28318,0.53403,0.23938,0.82268,0.25421,0.39729,0.36323,0.74527,0.34922,0.58955,-1
0.38614,0.68959,0.60736,0.16802,0.24077,0.75583,0.5726,0.75988,0.35809,0.49448,-1
0.22988,0.17011,0.19343,0.88217,0.15583,0.25054,0.37153,0.69949,0.45479,0.59689,-1
0.3206,0.1574,0.15923,0.88137,0.32564,0.35688,0.44142,0.54562,0.60196,0.36102,-1
0.36105,0.18084,0.28379,0.67778,0.49578,0.52568,0.4023,0.48851,0.49453,0.48421,-1
0.080046,0,0.06359,0.8428,0.30397,0.21493,0.30176,0.77418,0.74595,0.23888,-1
0.42613,0.16915,0.2633,0.73179,0.23604,0.41058,0.36083,0.67698,0.50365,0.2859,-1
0.17546,0.55889,0.41761,0.82622,0.63215,0.25414,0.61832,0.44407,0.53742,0.64009,-1
0.30621,0.79553,0.53967,0.63092,0.60844,0.36159,0.64476,0.45626,0.4086,0.38878,1
0.32805,0.29288,0.43025,0.49037,0.40057,0.79034,0.38232,0.46972,0.6177,0.3168,-1
0.29818,0.24427,0.19837,0.84303,0.34525,0.121,0.27364,0.66235,0.61419,0.36172,-1
0.51262,0.40157,0.35518,0.58574,0.38743,0.58174,0.23662,0.68604,0.44958,0.29501,-1
0.46816,0.16708,0.25297,0.90576,0.51179,0.60306,0.33316,0.63778,0.50521,0.6091,-1
0.55365,0.46186,0.49076,0.76444,0.39645,0.33601,0.43798,0.64499,0.47565,0.63123,-1
0.30906,0.64395,0.47416,0.32707,0.24339,0.43385,0.52608,0.73969,0.55805,0.63347,-1
0.27804,0.16591,0.19929,0.79261,0.51818,0.32936,0.50079,0.59993,0.63493,0.43461,-1
0.35214,0.13969,0.20139,0.7191,0.18166,0.12243,0.79672,0.7763,0.52828,0.53605,-1
0.34855,0.35179,0.40571,0.46061,0.14508,0.51972,0.46032,0.76178,0.60014,0.37899,-1
0.46893,0.39023,0.6678,0.769,0.69555,0.31731,0.54848,0.6039,0.47781,0.69689,1
0.40431,0.19171,0.17498,0.70581,0.48605,0.10784,0.54658,0.45078,0.63524,0.42172,-1
0.28336,0.19013,0.31717,0.57158,0.35701,0.66027,0.38475,0.65232,0.55117,0.29095,-1
0.27975,0.54021,0.35625,0.67848,0.40072,0.56756,0.41884,0.87878,0.67321,0.20316,-1
0.18064,0.21393,0.29683,0.89306,0.60215,0.4384,0.3842,0.059947,0.48661,0.43539,-1
0.38143,0.19074,0.22091,0.7661,0.43142,0.46042,0.29859,0.36561,0.62997,0.47713,-1
0.18722,0.42913,0.29334,0.55777,0.13655,0.60603,0.30481,0.38014,0.39721,0.54356,-1
0.19351,0.18563,0.2191,0.87441,0.64503,0.17607,0.24169,0.73824,0.55246,0.38372,1
0.29853,0.62781,0.32829,0.55772,0.57601,0.37817,0.33007,0.72311,0.63439,0.46696,1
0.69827,0.21913,0.30381,0.79927,0.6391,0.33117,0.48199,0.6322,0.68972,0.46765,1
0.37328,0.17417,0.26984,0.87837,0.32777,0.2447,0.43084,0.73194,0.55932,0.53245,-1
0.30491,0.22686,0.12843,0.70289,0.72224,0.33587,0,0.68142,0.69888,0.10746,1
